image_a,image_b,shared_layers,shared_size_mb
python:3.11-slim,python:3.10-slim,1,28.4006
python:3.11-slim,golang:1.22,0,0
python:3.11-slim,golang:1.22-alpine,0,0
python:3.11-slim,ubuntu:22.04,0,0
python:3.11-slim,ubuntu:20.04,0,0
python:3.11-slim,debian:12,0,0
python:3.11-slim,debian:11,0,0
python:3.11-slim,grafana/grafana:10.4.1,0,0
python:3.11-slim,fluent/fluent-bit:3.0,0,0
python:3.11-slim,jenkins/jenkins:lts,0,0
python:3.11-slim,hashicorp/http-echo:latest,0,0
python:3.11-slim,hashicorp/vault:1.13,0,0
python:3.11-slim,verdaccio/verdaccio:5,0,0
python:3.11-slim,alpine/git:latest,0,0
python:3.10-slim,golang:1.22,0,0
python:3.10-slim,golang:1.22-alpine,0,0
python:3.10-slim,ubuntu:22.04,0,0
python:3.10-slim,ubuntu:20.04,0,0
python:3.10-slim,debian:12,0,0
python:3.10-slim,debian:11,0,0
python:3.10-slim,grafana/grafana:10.4.1,0,0
python:3.10-slim,fluent/fluent-bit:3.0,0,0
python:3.10-slim,jenkins/jenkins:lts,0,0
python:3.10-slim,hashicorp/http-echo:latest,0,0
python:3.10-slim,hashicorp/vault:1.13,0,0
python:3.10-slim,verdaccio/verdaccio:5,0,0
python:3.10-slim,alpine/git:latest,0,0
golang:1.22,golang:1.22-alpine,2,66.1514
golang:1.22,ubuntu:22.04,0,0
golang:1.22,ubuntu:20.04,0,0
golang:1.22,debian:12,0,0
golang:1.22,debian:11,0,0
golang:1.22,grafana/grafana:10.4.1,0,0
golang:1.22,fluent/fluent-bit:3.0,0,0
golang:1.22,jenkins/jenkins:lts,0,0
golang:1.22,hashicorp/http-echo:latest,0,0
golang:1.22,hashicorp/vault:1.13,0,0
golang:1.22,verdaccio/verdaccio:5,0,0
golang:1.22,alpine/git:latest,0,0
golang:1.22-alpine,ubuntu:22.04,0,0
golang:1.22-alpine,ubuntu:20.04,0,0
golang:1.22-alpine,debian:12,0,0
golang:1.22-alpine,debian:11,0,0
golang:1.22-alpine,grafana/grafana:10.4.1,0,0
golang:1.22-alpine,fluent/fluent-bit:3.0,0,0
golang:1.22-alpine,jenkins/jenkins:lts,0,0
golang:1.22-alpine,hashicorp/http-echo:latest,0,0
golang:1.22-alpine,hashicorp/vault:1.13,0,0
golang:1.22-alpine,verdaccio/verdaccio:5,0,0
golang:1.22-alpine,alpine/git:latest,0,0
ubuntu:22.04,ubuntu:20.04,0,0
ubuntu:22.04,debian:12,0,0
ubuntu:22.04,debian:11,0,0
ubuntu:22.04,grafana/grafana:10.4.1,0,0
ubuntu:22.04,fluent/fluent-bit:3.0,0,0
ubuntu:22.04,jenkins/jenkins:lts,0,0
ubuntu:22.04,hashicorp/http-echo:latest,0,0
ubuntu:22.04,hashicorp/vault:1.13,0,0
ubuntu:22.04,verdaccio/verdaccio:5,0,0
ubuntu:22.04,alpine/git:latest,0,0
ubuntu:20.04,debian:12,0,0
ubuntu:20.04,debian:11,0,0
ubuntu:20.04,grafana/grafana:10.4.1,0,0
ubuntu:20.04,fluent/fluent-bit:3.0,0,0
ubuntu:20.04,jenkins/jenkins:lts,0,0
ubuntu:20.04,hashicorp/http-echo:latest,0,0
ubuntu:20.04,hashicorp/vault:1.13,0,0
ubuntu:20.04,verdaccio/verdaccio:5,0,0
ubuntu:20.04,alpine/git:latest,0,0
debian:12,debian:11,0,0
debian:12,grafana/grafana:10.4.1,0,0
debian:12,fluent/fluent-bit:3.0,0,0
debian:12,jenkins/jenkins:lts,0,0
debian:12,hashicorp/http-echo:latest,0,0
debian:12,hashicorp/vault:1.13,0,0
debian:12,verdaccio/verdaccio:5,0,0
debian:12,alpine/git:latest,0,0
debian:11,grafana/grafana:10.4.1,0,0
debian:11,fluent/fluent-bit:3.0,0,0
debian:11,jenkins/jenkins:lts,0,0
debian:11,hashicorp/http-echo:latest,0,0
debian:11,hashicorp/vault:1.13,0,0
debian:11,verdaccio/verdaccio:5,0,0
debian:11,alpine/git:latest,0,0
grafana/grafana:10.4.1,fluent/fluent-bit:3.0,0,0
grafana/grafana:10.4.1,jenkins/jenkins:lts,0,0
grafana/grafana:10.4.1,hashicorp/http-echo:latest,0,0
grafana/grafana:10.4.1,hashicorp/vault:1.13,0,0
grafana/grafana:10.4.1,verdaccio/verdaccio:5,0,0
grafana/grafana:10.4.1,alpine/git:latest,0,0
fluent/fluent-bit:3.0,jenkins/jenkins:lts,0,0
fluent/fluent-bit:3.0,hashicorp/http-echo:latest,0,0
fluent/fluent-bit:3.0,hashicorp/vault:1.13,0,0
fluent/fluent-bit:3.0,verdaccio/verdaccio:5,0,0
fluent/fluent-bit:3.0,alpine/git:latest,0,0
jenkins/jenkins:lts,hashicorp/http-echo:latest,0,0
jenkins/jenkins:lts,hashicorp/vault:1.13,0,0
jenkins/jenkins:lts,verdaccio/verdaccio:5,0,0
jenkins/jenkins:lts,alpine/git:latest,0,0
hashicorp/http-echo:latest,hashicorp/vault:1.13,0,0
hashicorp/http-echo:latest,verdaccio/verdaccio:5,0,0
hashicorp/http-echo:latest,alpine/git:latest,0,0
hashicorp/vault:1.13,verdaccio/verdaccio:5,0,0
hashicorp/vault:1.13,alpine/git:latest,0,0
verdaccio/verdaccio:5,alpine/git:latest,0,0
