image_a,image_b,shared_layers,shared_size_mb
python:3.11,alpine:3.19,0,0
python:3.11,alpine:3.18,0,0
python:3.11,busybox:1.36,0,0
python:3.11,memcached:1.6,0,0
python:3.11,httpd:2.4,0,0
python:3.11,nginx:1.25,0,0
python:3.11,nginx:alpine,0,0
python:3.11,caddy:2,0,0
python:3.11,haproxy:2.9,0,0
python:3.11,traefik:v3.0,0,0
python:3.11,varnish:7,0,0
python:3.11,mysql:8.0,0,0
python:3.11,mariadb:11,0,0
python:3.11,redis:7,0,0
python:3.11,redis:7-alpine,0,0
python:3.11,postgres:16,0,0
python:3.11,postgres:15,0,0
python:3.11,mongo:7,0,0
python:3.11,cassandra:4.1,0,0
python:3.11,rabbitmq:3-management,0,0
python:3.11,zookeeper:3.9,0,0
python:3.11,eclipse-mosquitto:2,0,0
python:3.11,nats:2.10,0,0
python:3.11,registry:2,0,0
python:3.11,wordpress:6.4,0,0
python:3.11,ghost:5-alpine,0,0
python:3.11,node:20,0,0
python:3.11,node:20-alpine,0,0
python:3.11,node:18-alpine,0,0
python:3.11,flink:1.18,0,0
python:3.11,eclipse-temurin:17,0,0
python:3.11,eclipse-temurin:17-jdk-jammy,0,0
python:3.11,eclipse-temurin:21,0,0
python:3.11,php:8.2-apache,0,0
python:3.11,php:8.2-fpm,0,0
python:3.11,ruby:3.2,0,0
python:3.11,perl:5.38,4,361.2418
python:3.11,rust:1.76,0,0
python:3.11,rust:1.76-slim,0,0
python:3.11,prom/prometheus:v2.52.0,0,0
python:3.11,logstash:8.13.0,0,0
python:3.11,telegraf:1.30,0,0
alpine:3.19,alpine:3.18,0,0
alpine:3.19,busybox:1.36,0,0
alpine:3.19,memcached:1.6,0,0
alpine:3.19,httpd:2.4,0,0
alpine:3.19,nginx:1.25,0,0
alpine:3.19,nginx:alpine,0,0
alpine:3.19,caddy:2,0,0
alpine:3.19,haproxy:2.9,0,0
alpine:3.19,traefik:v3.0,0,0
alpine:3.19,varnish:7,0,0
alpine:3.19,mysql:8.0,0,0
alpine:3.19,mariadb:11,0,0
alpine:3.19,redis:7,0,0
alpine:3.19,redis:7-alpine,0,0
alpine:3.19,postgres:16,0,0
alpine:3.19,postgres:15,0,0
alpine:3.19,mongo:7,0,0
alpine:3.19,cassandra:4.1,0,0
alpine:3.19,rabbitmq:3-management,0,0
alpine:3.19,zookeeper:3.9,0,0
alpine:3.19,eclipse-mosquitto:2,0,0
alpine:3.19,nats:2.10,0,0
alpine:3.19,registry:2,0,0
alpine:3.19,wordpress:6.4,0,0
alpine:3.19,ghost:5-alpine,0,0
alpine:3.19,node:20,0,0
alpine:3.19,node:20-alpine,0,0
alpine:3.19,node:18-alpine,0,0
alpine:3.19,flink:1.18,0,0
alpine:3.19,eclipse-temurin:17,0,0
alpine:3.19,eclipse-temurin:17-jdk-jammy,0,0
alpine:3.19,eclipse-temurin:21,0,0
alpine:3.19,php:8.2-apache,0,0
alpine:3.19,php:8.2-fpm,0,0
alpine:3.19,ruby:3.2,0,0
alpine:3.19,perl:5.38,0,0
alpine:3.19,rust:1.76,0,0
alpine:3.19,rust:1.76-slim,0,0
alpine:3.19,prom/prometheus:v2.52.0,0,0
alpine:3.19,logstash:8.13.0,0,0
alpine:3.19,telegraf:1.30,0,0
alpine:3.18,busybox:1.36,0,0
alpine:3.18,memcached:1.6,0,0
alpine:3.18,httpd:2.4,0,0
alpine:3.18,nginx:1.25,0,0
alpine:3.18,nginx:alpine,0,0
alpine:3.18,caddy:2,0,0
alpine:3.18,haproxy:2.9,0,0
alpine:3.18,traefik:v3.0,0,0
alpine:3.18,varnish:7,0,0
alpine:3.18,mysql:8.0,0,0
alpine:3.18,mariadb:11,0,0
alpine:3.18,redis:7,0,0
alpine:3.18,redis:7-alpine,0,0
alpine:3.18,postgres:16,0,0
alpine:3.18,postgres:15,0,0
alpine:3.18,mongo:7,0,0
alpine:3.18,cassandra:4.1,0,0
alpine:3.18,rabbitmq:3-management,0,0
alpine:3.18,zookeeper:3.9,0,0
alpine:3.18,eclipse-mosquitto:2,0,0
alpine:3.18,nats:2.10,0,0
alpine:3.18,registry:2,1,3.26
alpine:3.18,wordpress:6.4,0,0
alpine:3.18,ghost:5-alpine,0,0
alpine:3.18,node:20,0,0
alpine:3.18,node:20-alpine,0,0
alpine:3.18,node:18-alpine,0,0
alpine:3.18,flink:1.18,0,0
alpine:3.18,eclipse-temurin:17,0,0
alpine:3.18,eclipse-temurin:17-jdk-jammy,0,0
alpine:3.18,eclipse-temurin:21,0,0
alpine:3.18,php:8.2-apache,0,0
alpine:3.18,php:8.2-fpm,0,0
alpine:3.18,ruby:3.2,0,0
alpine:3.18,perl:5.38,0,0
alpine:3.18,rust:1.76,0,0
alpine:3.18,rust:1.76-slim,0,0
alpine:3.18,prom/prometheus:v2.52.0,0,0
alpine:3.18,logstash:8.13.0,0,0
alpine:3.18,telegraf:1.30,0,0
busybox:1.36,memcached:1.6,0,0
busybox:1.36,httpd:2.4,0,0
busybox:1.36,nginx:1.25,0,0
busybox:1.36,nginx:alpine,0,0
busybox:1.36,caddy:2,0,0
busybox:1.36,haproxy:2.9,0,0
