image_a,image_b,shared_layers,shared_size_mb
python:3.11,python:3.11-slim,0,0
python:3.11,golang:1.22,0,0
python:3.11,ubuntu:22.04,0,0
python:3.11,debian:12,0,0
python:3.11,alpine:3.19,0,0
python:3.11,busybox:1.36,0,0
python:3.11,memcached:1.6,0,0
python:3.11,httpd:2.4,0,0
python:3.11,nginx:1.25,0,0
python:3.11,caddy:2,0,0
python:3.11,haproxy:2.9,0,0
python:3.11,mysql:8.0,0,0
python:3.11,mariadb:11,0,0
python:3.11,redis:7,0,0
python:3.11,postgres:16,0,0
python:3.11,mongo:7,0,0
python:3.11,rabbitmq:3-management,0,0
python:3.11,zookeeper:3.9,0,0
python:3.11,registry:2,0,0
python:3.11,wordpress:6.4,0,0
python:3.11,ghost:5-alpine,0,0
python:3.11,node:20,0,0
python:3.11,node:20-alpine,0,0
python:3.11,flink:1.18,0,0
python:3.11,cassandra:4.1,0,0
python:3.11,eclipse-temurin:17,0,0
python:3.11,php:8.2-apache,0,0
python:3.11,ruby:3.2,0,0
python:3.11,perl:5.38,4,361.2418
python:3.11,prom/prometheus:v2.52.0,0,0
python:3.11,grafana/grafana:10.4.1,0,0
python:3.11,fluent/fluent-bit:3.0,0,0
python:3.11,logstash:8.13.0,0,0
python:3.11,telegraf:1.30,0,0
python:3.11,influxdb:2.7,0,0
python:3.11,minio/minio:latest,0,0
python:3.11,jenkins/jenkins:lts,0,0
python:3.11,gitlab/gitlab-runner:alpine,0,0
python:3.11,hashicorp/http-echo:latest,0,0
python:3.11,consul:1.15,0,0
python:3.11,nats:2.10,0,0
python:3.11,solr:9,0,0
python:3.11,varnish:7,0,0
python:3.11,traefik:v3.0,0,0
python:3.11,eclipse-mosquitto:2,0,0
python:3.11,sonarqube:community,0,0
python:3.11-slim,golang:1.22,0,0
python:3.11-slim,ubuntu:22.04,0,0
python:3.11-slim,debian:12,0,0
python:3.11-slim,alpine:3.19,0,0
python:3.11-slim,busybox:1.36,0,0
python:3.11-slim,memcached:1.6,1,28.4006
python:3.11-slim,httpd:2.4,1,28.4006
python:3.11-slim,nginx:1.25,0,0
python:3.11-slim,caddy:2,0,0
python:3.11-slim,haproxy:2.9,0,0
python:3.11-slim,mysql:8.0,0,0
python:3.11-slim,mariadb:11,0,0
