layer_digest,size_mb,num_images,images
sha256:ff2ea7991ac665ee0176f1767a0cb6321d77991b875c43789d414d779fffadb6,7.165,1,elasticsearch:8.13.0
sha256:863016d5e58d01da6746f66919f587684a5b6edf1003efac9f695e2dfa287460,0.0016,1,elasticsearch:8.13.0
sha256:6460b9bccd157aa152242c0e1eb056660ded4af874866180ea121ebc9cbee77b,0.183,1,elasticsearch:8.13.0
sha256:7c63d583e86b5114cb38b65cc03578d62007449a101d81c540b1fe86a114fe30,0.0004,1,elasticsearch:8.13.0
sha256:f9e6e2a58f42cd798e6556b5aefc59942b4ed01de06534b7a392ff4c4c24bf4d,0.1042,1,elasticsearch:8.13.0
sha256:f6d59af47707f0744635284568e60401f4d034614391cc6ea3f5b4a2b2702e87,0.0041,1,elasticsearch:8.13.0
sha256:d4c3c94e5e10ed15503bda7e145a3652ee935c0b2e9de9b5c98df7ec0a0cd925,26.2372,2,elasticsearch:8.13.0|kibana:8.13.0
sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,0.0,3,elasticsearch:8.13.0|kibana:8.13.0|neo4j:5
sha256:e7f7c08d05fb64450017768a5d90aede83a59daedb0c76ca98f0726b2740aeda,553.1007,1,elasticsearch:8.13.0
sha256:86ec7e3a371d809880bdd063b9d3810103f7f379487f4fb426532401544c13d4,0.0091,1,elasticsearch:8.13.0
sha256:b2500363d16446137ed52467eae89732ac2ba2ef4f35740d9fbeb31fb76efbca,0.005,1,kibana:8.13.0
sha256:f065f373ad833ce464887751cf63c6b5d93ef1c4bc616ca70bdebcbb6fb5af97,0.0001,1,kibana:8.13.0
sha256:cd916f8c3f7f388d2bd0444c3d92a2e88d80d6ed7bac2583fa9a2dc26ee641b6,0.1807,1,kibana:8.13.0
sha256:f3cb78aa516972699c3403452c24911660ce4c70b170093e660a9356af09455c,305.3322,1,kibana:8.13.0
sha256:e4fbb338f026b9e8e7b987fce14b56690a496894ff8777430684f6b8bcb748f5,0.0004,1,kibana:8.13.0
sha256:c74c5146376b1e2cabcb6d6298abd9bf983b472e29b0f5962a77092c2936a33d,0.0017,1,kibana:8.13.0
sha256:5e9270f90453da34504c79124531d40b33decfcb048adc94ff1819d8570d7f72,10.2093,1,kibana:8.13.0
sha256:1ae1b253504a71c4529f6b2e7c1d5fcf256146fd64f282238c82c4b5ae998823,0.0002,1,kibana:8.13.0
sha256:175f21d8fb616536b5c54722ba30fed6d5f02b7085ff7294987a7e0ca1c7fd80,0.0044,1,kibana:8.13.0
sha256:eeee51ecc63805a655f2ab121c976279751ce4472b50560b299fe84aee5dac1b,15.6979,1,kibana:8.13.0
sha256:7499fcd7ec800bb3cd3cc4072492a6639d91a7f6ee3a2027127c0e5ffe13b65d,0.0004,1,kibana:8.13.0
sha256:c7ee893e59a1a2d7fee8d90f81f61106159bc44e98327014963b7736bef51b92,0.0091,1,kibana:8.13.0
sha256:3531af2bc2a9c8883754652783cf96207d53189db279c9637b7157d034de7ecd,28.4006,1,neo4j:5
sha256:ba5ddbd52c71c930a817fe34ed060a46a60e3af88d6120a2139c5755422ce934,150.5442,1,neo4j:5
sha256:17a59f9278dda0cf82cdb0660d761c70cf9caca01b0fb5b366bfef14d3799f83,0.0096,1,neo4j:5
sha256:1db8f2657e353e06d3b90acec6f0f6a98089f6de9c875411bbe15d64fa7b15e6,158.0595,1,neo4j:5
sha256:a34740f51296d6acfab2fa462e3b8b1803c8737e466de7bbf0fe68db4d70eae7,0.0003,1,couchdb:3
sha256:67cdf8fec417a2a0f21a217bd1809c4ea2cc4f135d262f6b0dcc8078c9a7c044,0.073,1,couchdb:3
sha256:9408fb10825775c8965247a872391b284439aa7ca55f219ee2b556cd7af7f8cb,0.0001,1,couchdb:3
sha256:a2a0c60ddabd96476377d89beffea94139f3abd519bfe2f9addbefde09deac10,0.0012,1,couchdb:3
sha256:d1de30193b9c2bab17ecfbda0bcf2a02b262bd8ceafd9a031e19a120fd8c8ac1,0.3832,1,couchdb:3
sha256:6d90394d687f0d05c4649b956181d3345b324547ad48051ae0f177b448cbaaed,7.5184,1,couchdb:3
sha256:54a53138b1d134d26fa4d53d9a2683c90141d93b6e7bd622b6f43e87123095de,0.0011,1,couchdb:3
sha256:7de039ed6bde8981bad1b825c982292ee098f74b12f1b17c1ba36cfe31305eb3,0.0004,1,couchdb:3
sha256:ff86ea2e5edce334d19a34fbc65d1a511aa1fc823dba1110422f991aa56b44d4,26.9282,1,couchdb:3
sha256:4ff9cb5cf3e1dbb2d8da0afe8b27d8c08d85851a5ced23b121452557a3d3c751,100.5721,1,couchdb:3
sha256:731d920f2d4fef22403d1c15d88dd6c5ea16f0ad88cf18a477d7d5b2f9149f63,0.0021,1,couchdb:3
