layer_digest,size_mb,num_images,images
sha256:3531af2bc2a9c8883754652783cf96207d53189db279c9637b7157d034de7ecd,28.4006,2,python:3.10-slim|python:3.11-slim
sha256:f3ba2250c52436e41e9f2f3830af92de466fcacc2d848264e1f9fdc76975d803,13.7005,1,python:3.11-slim
sha256:7ccd73948dde4b7f1623ac6bf9b58706fb83d0a363d765d7c799d46035ceb563,0.0002,1,python:3.11-slim
sha256:91ff8760033c3b9bc9c3a3bcc6ff66c113ec9e13f94fa2f12ae4b221aae996b9,1.2332,1,python:3.11-slim
sha256:b4e72df0ba0e7a032d9028786a436c63d283a51c04415ae0168197be7d828938,1.2332,1,python:3.10-slim
sha256:6f7b1a1af1d212ff1519dbf4534d2491d175f4fa052f008e4cfc2ad9744e5e4b,0.0002,1,python:3.10-slim
sha256:b05032fa5b62ec785bb4d899754c0969d9829fa10bbdc7f74bb14c8e4f11358a,13.1829,1,python:3.10-slim
sha256:35af2a7690f2b43e7237d1fae8e3f2350dfb25f3249e9cf65121866f9c56c772,61.4112,1,golang:1.22
sha256:afa154b433c7f72db064d19e1bcfa84ee196ad29120328f6bdb2c5fbd7b8eeac,66.1514,2,golang:1.22|golang:1.22-alpine
sha256:a492eee5e55976c7d3feecce4c564aaf6f14fb07fdc5019d06f4154eddc93fde,46.2338,1,golang:1.22
sha256:3b7f19923e1501f025b9459750b20f5df37af452482f75b91205f345d1c0e1b5,88.048,1,golang:1.22
sha256:32b550be6cb62359a0f3a96bc0dc289f8b45d097eaad275887f163c6780b4108,22.9438,1,golang:1.22
sha256:1451027d3c0ee892b96310c034788bbe22b30b8ea2d075edbd09acfeaaaa439f,0.0001,1,golang:1.22
sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,0.0,2,golang:1.22|golang:1.22-alpine
sha256:4d75fd4b73869ed224045c010cdec78756eefb6752a5a8e4804294009eac11e9,0.2812,1,golang:1.22-alpine
