layer_digest,size_mb,num_images,images
sha256:b333cdcea40f543577948f04e283121bc19b4572a67db0d3e349e4595a5ebadb,0.001,1,docker:26
sha256:c6a83fedfae6ed8a4f5f7cbb6a7b6f1c1ec3d86fea8cb9e5ba2e5e6673fde9f6,3.4551,1,docker:26
sha256:6b7a91f7574f035a82d872d3626d1859b821917ddaea3c4fca0cf41009e4371e,0.0014,1,docker:26
sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,0.0,1,docker:26
sha256:be10967b7a2ee1dea8494886486f8bd6469fedfef76ff529c77c7cae0121a916,0.0001,1,docker:26
sha256:68db43022f51848b5385ace1b29ec5b7246eeee038fa8a0a649b9f1882e78f26,6.3468,1,docker:26
sha256:ce410524689729e8c49884f8d9cc2cbd31e6375df0d6d88f493be39d7a354018,0.0851,1,docker:26
sha256:4cf84a1eb0270e4d28f3beaefa7db1bdbdf4ce24fe3f6702fb57d77b492dd02b,7.5046,1,docker:26
sha256:9977232951b4689ed5eb32229bc55cd2dc815123d1dd089a223fa2b6af4ddc8b,17.5521,1,docker:26
sha256:2625773c17ac28a542402b723c673608caa4a91950f56d6b37c302c6362890a4,17.2178,1,docker:26
sha256:5d1847323e64a40658b5a1b3b34cc064a93d1c5b63740f9e80c2b2813cb8dc90,0.0031,1,docker:26
sha256:12760eb0d75377c7387e3ccf1bac70061bbf4a35d8719004a6cd5e8e938a58f7,17.9471,1,docker:26
sha256:0e3f0f89ac754ef1d94d16fdadc9723b8c3a7d2cbe1d559127228489791c747f,0.001,1,docker:26
sha256:d27f6c8943b904338a8ae558701839cba64c21dde29b1ded9b4c62a4c427ead7,0.0004,1,docker:26
sha256:79301dbd5aa0fa9e77c7f6bc0539564b93193b2112e56a6a8a4463e2c86d663e,54.086,1,docker:26
sha256:863bb7057431236d361cb8a634cc53f5180dfa1d255f77e5d53682719375edc8,0.0005,1,docker:26
