layer_digest,size_mb,num_images,images
sha256:a166fb5f1996a6802829599fa567e0f5051d57568f2922b032eb0402fe03cdff,0.0002,1,drupal:10
sha256:9cfa6ce5874bc20b89543cd80d41f58507e071af1977b4fc38fe6a13ca83fdeb,0.0002,1,drupal:10
sha256:dd9c72387956fde81883201db10160d5778cbc5b4846c394578385ffadd64ade,12.9294,1,drupal:10
sha256:134c181fdf95302074770bb051ca6c50bcbfe4fbe213782da930de45c151c938,0.7541,1,drupal:10
sha256:1c3a3c22f89f33eacca27643c304fbf4cdced1a494513ba0684cd5faf51ff50a,13.2108,1,drupal:10
sha256:d625a537ad4d2ab44c7665d535db2255e1d8a5cf38f0a2e2af1a8269ccda6f6a,0.0002,1,drupal:10
sha256:3531af2bc2a9c8883754652783cf96207d53189db279c9637b7157d034de7ecd,28.4006,1,drupal:10
sha256:ae044dcde24485109733a3bc78f06686efea05cd32c03f0c38c68e2f825a8b00,0.0023,1,drupal:10
sha256:6e8e57b7fef8aee5cad4cc6a19cc76dbb706284c2b17bfa6d063d70fb8510d12,0.0001,1,drupal:10
sha256:574faee95b5376fc2f0f3f093a9e6780a97d7eedc2da840e55380b1d36f85a89,112.384,1,drupal:10
sha256:d023baa873c0991ddaa7419301cf610d5e56ceb38356f1845ae0e94eb05dc3c9,0.0002,1,drupal:10
sha256:29ed48780967058ba90258dfa165a33a65ef90d6260c78464947bb8732c2091f,0.0005,1,drupal:10
sha256:45c19f6aeb84e92127e2e3d01ae0c2404b696e34500cff3e1730ca85603f24ae,0.0004,1,drupal:10
sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,0.0,1,drupal:10
sha256:d4b3d21fc9ec6a7ebfc0b6b8b90004b73dada1580666272a20e5727725e94626,20.8675,1,drupal:10
sha256:3ce7e42314878fa75790cd20ec64c41553110fe17f16b9c26967a225173a8acf,0.0005,1,drupal:10
sha256:28aafaa0f9a2d4557c2e9c1f953def4005d036064e46b0d8226bd8aa3047f10c,0.0008,1,drupal:10
sha256:bbcafbe281a6757cd10d2aea9b90f3636b474dd2516c0980d602df86c6d4781b,4.0311,1,drupal:10
sha256:5470da39f4f95f8cbde8ae1c0889a61fcfbd2b8ad912fbeff6a62f2763f67cca,0.0003,1,drupal:10
sha256:e1410daed9da09b18a3a64c4955d2d3c8955747c5f0e18aba840b5e07bfcd18a,1.5817,1,drupal:10
sha256:7de552cfaae1b01c9edff1ddfa947b594abc5c5cd7e5935083ef66faf36a2e64,0.0002,1,drupal:10
