layer_digest,size_mb,num_images,images
sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,0.0,1,gradle:8.7
sha256:9597f8bd6b29bc76b89a6b5abbb319791d5d158dacff7e8aa94f2c6532c056be,0.0041,1,gradle:8.7
sha256:4a023cab5400feb5c1ab725beb8345ddb0e3200314004b56677a5eee2e8c86cf,29.0295,1,gradle:8.7
sha256:154d34656420a1177a9f23f6c4d45719e4974ab8b385a46316b114c8a5fd92ad,0.0524,1,gradle:8.7
sha256:c67a44bc0ca27ab347cbf95cec6ffe05b748f3a91ea2a83ac69c1cd292f7d39c,127.9926,1,gradle:8.7
sha256:478e5694bb3e0cbd54a331514092737b8a8de5a4fe7069a3f00e6eb1b98fd605,0.0002,1,gradle:8.7
sha256:afd7ada947ce7661ad85815ab478851ccf7b0d064cde9c9195bafb2bd499b29e,151.1689,1,gradle:8.7
sha256:5e5d1bccc5440d3a24f4a620704b9e687b4163c6c872fcc8e812e200c9bbac58,16.6476,1,gradle:8.7
sha256:d8fa38685928ae1a460299486cb01d7d2db1eff47fbd68c8ac6c936e89af1641,0.0007,1,gradle:8.7
sha256:cceb7a9608833749b9ce19ac222db3d351fc0948875b9722f30056c2b3be54b7,49.1572,1,gradle:8.7
