layer_digest,size_mb,num_images,images
sha256:27b0fec9d44b5a409c6da0cb2c4ba39287b5b7c04542cebfa7f37b53dcebaa31,12.1829,1,joomla:5
sha256:c9acb28d1f7020d8f94b61c24b781a837959cdc7fa878d4f15ef746df237f1c0,11.1715,1,joomla:5
sha256:77eb6529b3f33c859dbaab2e88aab3be7effe1b2025c9e8da797f085bf7b22b5,0.0179,1,joomla:5
sha256:f7417fc69aeb1abfb52a71b35ffe493f50ca3ff41e13bd8ce993e487500336ff,112.3839,1,joomla:5
sha256:d0d4ea2c39f41e96763dc561f014e878f9c3b7e1a13b897e77a7b1119988ee6c,0.0008,1,joomla:5
sha256:60b05d6747e4a54da9ec7adb3c63744d8b77786589cd31fa537c5fafe0fd1917,42.9326,1,joomla:5
sha256:c9e48748eba6b5dd5b73def9616cb828aa7ca9f2ef8a71923e95c537ec7b1c7a,0.0004,1,joomla:5
sha256:c32b51c9e3e908184961502dfbb02452fe42913ce5ab2837897bfac0927604e4,0.0005,1,joomla:5
sha256:3531af2bc2a9c8883754652783cf96207d53189db279c9637b7157d034de7ecd,28.4006,1,joomla:5
sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,0.0,1,joomla:5
sha256:a5f587e05427862542219f5f49fab984a5a449fb100c7eff120cc3f372f72ac2,0.0002,1,joomla:5
sha256:af0561fe8965256c83620656958ecea9891ffebdc7cdbc63d84d390eaf75325c,0.0035,1,joomla:5
sha256:bd5f94b940435188be209dde1f683295851ae5ce9ea4f5b5dd9ceb511e0ca894,0.0023,1,joomla:5
sha256:79b094a6a742b7fdc596f15854cb257b1311d40d230db3e29b41222b2dd333ba,0.0002,1,joomla:5
sha256:899cbc2fdb85666778ad13381bbb12b2ade6a9c537fa794cb22d40a887722d0b,4.0311,1,joomla:5
sha256:2df10453cc9b29e32638161b672bdc3db32ec1f2faceac37d2ef57527dedc942,26.0105,1,joomla:5
sha256:9f7cb9638f2e12c44aaf249c640506296dd0a6ca6b2e49bd2b9139e7f963a06d,0.0005,1,joomla:5
sha256:a923b3cdaa21f3c6e30c9662c5be29400c6b6f28e913ffb7c714816ce30bc886,0.0002,1,joomla:5
sha256:cac4a54c06dfc039dccbf6901b77f09f00b5e05ae1e35f71dfb583b194f34156,0.0004,1,joomla:5
sha256:816fb9897415260074fe8ab97788bccfc7ed3c7aaea545da2f6358c2d95b3432,24.9384,1,joomla:5
sha256:2a0b801d7f1e3d7b1d2dd45bf832c664bc23d3d66ff9d8d109f3b224ce9f78fd,0.0002,1,joomla:5
sha256:b0701cfccb340da484ae3b0d6185eff83c2eafcbd7aab802f9a3986981944b56,0.001,1,joomla:5
sha256:e7cb34275fb09caa0da1f2683bf9dabcf35f4c3a4b3c33a94b83f5441a03dc38,0.0003,1,joomla:5
