layer_digest,size_mb,num_images,images
sha256:d023baa873c0991ddaa7419301cf610d5e56ceb38356f1845ae0e94eb05dc3c9,0.0002,1,matomo:5
sha256:bbcafbe281a6757cd10d2aea9b90f3636b474dd2516c0980d602df86c6d4781b,4.0311,1,matomo:5
sha256:dd9c72387956fde81883201db10160d5778cbc5b4846c394578385ffadd64ade,12.9294,1,matomo:5
sha256:a166fb5f1996a6802829599fa567e0f5051d57568f2922b032eb0402fe03cdff,0.0002,1,matomo:5
sha256:72d24990dae696f4d4735a53371e1ee5bded72b8a20193294ce08e86cbe55509,0.0008,1,matomo:5
sha256:7de552cfaae1b01c9edff1ddfa947b594abc5c5cd7e5935083ef66faf36a2e64,0.0002,1,matomo:5
sha256:9cfa6ce5874bc20b89543cd80d41f58507e071af1977b4fc38fe6a13ca83fdeb,0.0002,1,matomo:5
sha256:abb0437852fe8ba665a80869fe8454a7364a6acb2f83ecf2d726d243b5446e64,0.0003,1,matomo:5
sha256:574faee95b5376fc2f0f3f093a9e6780a97d7eedc2da840e55380b1d36f85a89,112.384,1,matomo:5
sha256:73f5dda7464498f943cc67bb148cce07ad7e40c3d638a57c286c6b5fb85e7ca2,2.5996,1,matomo:5
sha256:1c3a3c22f89f33eacca27643c304fbf4cdced1a494513ba0684cd5faf51ff50a,13.2108,1,matomo:5
sha256:45c19f6aeb84e92127e2e3d01ae0c2404b696e34500cff3e1730ca85603f24ae,0.0004,1,matomo:5
sha256:97727cc81fe6f80660351602b58f6492249b8eb2936cb2b8e30f328430a2c6a5,20.0241,1,matomo:5
sha256:3ce7e42314878fa75790cd20ec64c41553110fe17f16b9c26967a225173a8acf,0.0005,1,matomo:5
sha256:ae044dcde24485109733a3bc78f06686efea05cd32c03f0c38c68e2f825a8b00,0.0023,1,matomo:5
sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,0.0,1,matomo:5
sha256:29ed48780967058ba90258dfa165a33a65ef90d6260c78464947bb8732c2091f,0.0005,1,matomo:5
sha256:3531af2bc2a9c8883754652783cf96207d53189db279c9637b7157d034de7ecd,28.4006,1,matomo:5
sha256:28aafaa0f9a2d4557c2e9c1f953def4005d036064e46b0d8226bd8aa3047f10c,0.0008,1,matomo:5
sha256:406e6595b08078c89424f3602d844235d3899377c996e7092a501bbd811a37ee,0.0003,1,matomo:5
