layer_digest,size_mb,num_images,images
sha256:506bcb676d56150811d81dfeecf8c775ce1d8e9e3e42fcaff4cebedef91e668d,49.1884,1,mysql:8.4
sha256:f035ba2a42b8a1b8f5674047539d50309c58d7c0bf025d946c8f93adad50a897,0.0008,1,mysql:8.4
sha256:bb5107df7baaf29d90d3f3cd5c8b8d9bb0e9786e901a49be069e0d37e4c07bae,45.1182,1,mysql:8.4
sha256:df58ba29e4716abfaa57ad92746073b6fdb2edc9ade56de9beacae40efc1ca54,0.0003,1,mysql:8.4
sha256:8b565c834d59fd84b7e92785e9a9accffe3a2cbdbc7ebfb500176b62589acb11,5.8844,1,mysql:8.4
sha256:aa6e6468bcd71dd7e73c59c8ff211f3c3289b5689095efa58d80e7c7ccbfd766,0.0025,1,mysql:8.4
sha256:6b97080db618a59c7c1070d873c7676532d8130e4bd4abdc2b6da3010cad2ef1,126.2662,1,mysql:8.4
sha256:97a156be315d3009791029be3f35d7721f77d2f89b4c7c375fc21c6df01f33f5,0.0003,1,mysql:8.4
sha256:182cd03161a6cc330cb3179e00ff03735060afe188a3c76b53de39ef68999458,0.0051,1,mysql:8.4
sha256:9b9c5f1fb9544e1b87160680d79634b2756df9965406bd997d83f86b1d3f189c,0.7473,1,mysql:8.4
