layer_digest,size_mb,num_images,images
sha256:77dc57ecdd006226c60c5cc1cd72b9a90ef381f9a976a08887e6b23657b5ad01,0.0021,1,owncloud/server:10.13
sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,0.0,1,owncloud/server:10.13
sha256:7a51e78657f2511560b6e4435720c80ca77a008665d2872f0f953fe7ec135692,0.0008,1,owncloud/server:10.13
sha256:a29b07c1185914aa361e81ad7de7942ca270eab4e9a3f11a800fca518cdce7e6,120.9537,1,owncloud/server:10.13
sha256:ac3558ec35b5bc8770ba9081333e6a89625e03efe9a421b15e64555be39e3624,0.0006,1,owncloud/server:10.13
sha256:18a2be183cc99c4cca8e988784ed65bdf115edd82282e42b7c0a5275a4b8dd02,15.607,1,owncloud/server:10.13
sha256:ae7eca1a1b2437f7e6c8cc21df23f373a10490efb3d22e52906087aee7a44875,83.0762,1,owncloud/server:10.13
sha256:1a7ccb90720c6fef506bb1b9d0c8958f6e0ace0fe504325cdb3b0a4b0b856baf,10.309,1,owncloud/server:10.13
sha256:186e81376a305c67f26112fb30e163f3452685ffcc78a3d55236a16c65d9a835,0.0133,1,owncloud/server:10.13
sha256:3783cb226b6ded0008f9f4453dbb9d8f4e5e4831def065d50af0fc18068a710a,0.0001,1,owncloud/server:10.13
sha256:b08d47e9c40fb806fe9394e1749852f5d4f63553001a93dbc8380ef77fb8de52,83.0762,1,owncloud/server:10.13
sha256:9ea8908f47652b59b8055316d9c0e16b365e2b5cee15d3efcb79e2957e3e7cad,26.2373,1,owncloud/server:10.13
sha256:ef04be493cf00cad140c0c9acbabb693ce3bae2714ff2e4779153147c129dd23,0.0003,1,owncloud/server:10.13
