layer_digest,size_mb,num_images,images
sha256:20f9cf2e989379b4872852ab60c265982710bf81819c9d79286ec679d714721d,0.0002,1,postgres:16-alpine
sha256:c740b6b7dd0b2cfbdf5ab6d882cca61ab4ac9b0fcab60c106d63b80aa8bdce47,0.0001,1,postgres:16-alpine
sha256:72393ada915053e88f4fb285b231e662c8ce06ca0584075e128e282968223fad,0.0002,1,postgres:16-alpine
sha256:abdc7c6150b59ba65f6e49c428d8a5e13fed648b8abc84466576007028a25fd6,0.0058,1,postgres:16-alpine
sha256:3b7e6bf074f6d138e0486a91ed9c516f23a85e6fc0eef0b91ef71e950c4824cd,0.8765,1,postgres:16-alpine
sha256:0d3e610f9e0fac34b5b50769a7759e1c7c950f8f3db19983badf44fe6b901c26,100.3002,1,postgres:16-alpine
sha256:282a6867e326b37553419747b47799e17c48beb65c6d1145b5e662c8ec4fca54,0.0092,1,postgres:16-alpine
sha256:420ca0de84ca258657b5dffbb32d05c1ffd08f326153f341a05d60c320796b10,0.0009,1,postgres:16-alpine
sha256:5ef55a6c860c34c07cda7b782cb034cc975872371b4b83e0288de91bddbcf028,0.0002,1,postgres:16-alpine
sha256:6a0ac1617861a677b045b7ff88545213ec31c0ff08763195a70a4a5adda577bb,3.6852,1,postgres:16-alpine
sha256:d9681cd68a9456a69b2ed89a8433c6b2299665f40e06a85d84f3bdd585cb105d,0.0001,1,postgres:16-alpine
