layer_digest,size_mb,num_images,images
sha256:96631895b57535952362121e378208ee55c54971d0ee25a06f24f45d61043fa5,0.0001,1,redmine:5
sha256:281affa84bd9942d745048c38436e702718fe39827e5d8a5d3774dbf8bfac86d,0.9063,1,redmine:5
sha256:009f9243ff5cad78d33f4c99bf187336ccaa17c7f80f42a03fc00a82fc53fc57,104.8553,1,redmine:5
sha256:e1640434ec761b7ecd8119bfdeb86524cff4da1b040a1f6777e12b694f90a820,0.0002,1,redmine:5
sha256:98baad10e4e460550227d9e5bcd10b177cbb646783cac6bf8e3e793c9011f081,0.0001,1,redmine:5
sha256:863367889287e765c36f701913083a7abeadf988c98249e571cc0c6511e93515,0.0001,1,redmine:5
sha256:0fe3834d483dc45248388c135c23a5c059ff029bb96817948c57e4bbfd553ceb,34.6687,1,redmine:5
sha256:5435b2dcdf5cb7faa0d5b1d4d54be2c72a776fab9a605336f5067d6e9ecb5976,28.3963,1,redmine:5
sha256:fafa0ca1b8c4e6f68c4ec0eb869a050c2f4ad031a33e047d997c35ee8270b79f,52.2861,1,redmine:5
sha256:8b19bcf10fc26a456880dedd7e7ec314be9abe78c64be9459aa9b1915be77706,1.2206,1,redmine:5
sha256:2f70b6f11009be98709887a6f868020cbd8f77c70d2d5182879ac1cbf33224c9,3.1028,1,redmine:5
sha256:d605ebef552c170389a902794246ca52fbd022e5f734302412882b5364b89673,0.0011,1,redmine:5
sha256:8ab0dd849fc9c676e5a37940d3199e12666662c156cb72c7b8eaa98f4ebc92f4,0.0023,1,redmine:5
