label,file,node_id,num_containers_on_node
baseline,result_500.json,edge-1,0
baseline,result_500.json,edge-2,0
baseline,result_500.json,edge-3,98
baseline,result_500.json,edge-4,102
baseline,result_500.json,edge-5,0
baseline,result_500.json,edge-6,102
baseline,result_500.json,edge-7,96
baseline,result_500.json,edge-8,102
light,result_500_light.json,edge-1,0
light,result_500_light.json,edge-2,85
light,result_500_light.json,edge-3,34
light,result_500_light.json,edge-4,68
light,result_500_light.json,edge-5,51
light,result_500_light.json,edge-6,51
light,result_500_light.json,edge-7,113
light,result_500_light.json,edge-8,98
mid,result_500_mid.json,edge-1,51
mid,result_500_mid.json,edge-2,51
mid,result_500_mid.json,edge-3,34
mid,result_500_mid.json,edge-4,68
mid,result_500_mid.json,edge-5,51
mid,result_500_mid.json,edge-6,51
mid,result_500_mid.json,edge-7,96
mid,result_500_mid.json,edge-8,98
mid2,result_500_mid2.json,edge-1,17
mid2,result_500_mid2.json,edge-2,68
mid2,result_500_mid2.json,edge-3,34
mid2,result_500_mid2.json,edge-4,68
mid2,result_500_mid2.json,edge-5,17
mid2,result_500_mid2.json,edge-6,102
mid2,result_500_mid2.json,edge-7,96
mid2,result_500_mid2.json,edge-8,98
tuned,result_500_tuned.json,edge-1,49
tuned,result_500_tuned.json,edge-2,98
tuned,result_500_tuned.json,edge-3,34
tuned,result_500_tuned.json,edge-4,68
tuned,result_500_tuned.json,edge-5,34
tuned,result_500_tuned.json,edge-6,102
tuned,result_500_tuned.json,edge-7,58
tuned,result_500_tuned.json,edge-8,57
