label,file,algo,cid,service_type,node_id,local_step,wait_time,pull_time,deploy_delay,completion_time,run_time,reuse_mb,downloaded_mb
baseline,result_500.json,FG-DSCR,c080,default,edge-3,1,0.0,719.4,719.4,736.4,17.0,0,7194
baseline,result_500.json,FG-DSCR,c290,default,edge-3,2,736.4,0.0,736.4,753.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c410,default,edge-3,3,753.4,0.0,753.4,770.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c320,default,edge-3,4,770.4,0.0,770.4,787.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c230,default,edge-3,5,787.4,0.0,787.4,804.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c140,default,edge-3,6,804.4,0.0,804.4,821.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c380,default,edge-3,7,821.4,0.0,821.4,838.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c260,default,edge-3,8,838.4,0.0,838.4,855.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c350,default,edge-3,9,855.4,0.0,855.4,872.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c050,default,edge-3,10,872.4,0.0,872.4,889.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c110,default,edge-3,11,889.4,0.0,889.4,906.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c020,default,edge-3,12,906.4,0.0,906.4,923.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c470,default,edge-3,13,923.4,0.0,923.4,940.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c500,default,edge-3,14,940.4,0.0,940.4,957.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c170,default,edge-3,15,957.4,0.0,957.4,974.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c200,default,edge-3,16,974.4,0.0,974.4,991.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c440,default,edge-3,17,991.4,0.0,991.4,1008.4,17.0,7194,0
baseline,result_500.json,FG-DSCR,c021,default,edge-3,18,1008.4,72.0,1080.4,1100.4,20.0,5694,720
baseline,result_500.json,FG-DSCR,c171,default,edge-3,19,1100.4,0.0,1100.4,1120.4,20.0,6414,0
baseline,result_500.json,FG-DSCR,c144,default,edge-3,20,1120.4,0.1,1120.5,1137.5,17.0,6410,1
baseline,result_500.json,FG-DSCR,c441,default,edge-3,21,1137.5,0.0,1137.5,1157.5,20.0,6414,0
baseline,result_500.json,FG-DSCR,c384,default,edge-3,22,1157.5,0.0,1157.5,1174.5,17.0,6411,0
baseline,result_500.json,FG-DSCR,c231,default,edge-3,23,1174.5,0.0,1174.5,1194.5,20.0,6414,0
baseline,result_500.json,FG-DSCR,c474,default,edge-3,24,1194.5,0.0,1194.5,1211.5,17.0,6411,0
baseline,result_500.json,FG-DSCR,c201,default,edge-3,25,1211.5,0.0,1211.5,1231.5,20.0,6414,0
baseline,result_500.json,FG-DSCR,c354,default,edge-3,26,1231.5,0.0,1231.5,1248.5,17.0,6411,0
baseline,result_500.json,FG-DSCR,c261,default,edge-3,27,1248.5,0.0,1248.5,1268.5,20.0,6414,0
baseline,result_500.json,FG-DSCR,c084,default,edge-3,28,1268.5,0.0,1268.5,1285.5,17.0,6411,0
baseline,result_500.json,FG-DSCR,c381,default,edge-3,29,1285.5,0.0,1285.5,1305.5,20.0,6414,0
baseline,result_500.json,FG-DSCR,c444,default,edge-3,30,1305.5,0.0,1305.5,1322.5,17.0,6411,0
baseline,result_500.json,FG-DSCR,c471,default,edge-3,31,1322.5,0.0,1322.5,1342.5,20.0,6414,0
baseline,result_500.json,FG-DSCR,c054,default,edge-3,32,1342.5,0.0,1342.5,1359.5,17.0,6411,0
baseline,result_500.json,FG-DSCR,c111,default,edge-3,33,1359.5,0.0,1359.5,1379.5,20.0,6414,0
