label,file,round,step_reuse_mb_global,step_downloaded_mb_global,cumulative_reuse_mb_global,cumulative_downloaded_mb_global,active_nodes
baseline,result_500.json,1,0,55530,0,55530,5
baseline,result_500.json,2,55530,0,55530,55530,5
baseline,result_500.json,3,55530,0,111060,55530,5
baseline,result_500.json,4,55530,0,166590,55530,5
baseline,result_500.json,5,55530,0,222120,55530,5
baseline,result_500.json,6,55530,0,277650,55530,5
baseline,result_500.json,7,55530,0,333180,55530,5
baseline,result_500.json,8,55530,0,388710,55530,5
baseline,result_500.json,9,55530,0,444240,55530,5
baseline,result_500.json,10,55530,0,499770,55530,5
baseline,result_500.json,11,55530,0,555300,55530,5
baseline,result_500.json,12,55530,0,610830,55530,5
baseline,result_500.json,13,55530,0,666360,55530,5
baseline,result_500.json,14,55530,0,721890,55530,5
baseline,result_500.json,15,55530,0,777420,55530,5
baseline,result_500.json,16,55530,0,832950,55530,5
baseline,result_500.json,17,55528,650,888478,56180,5
baseline,result_500.json,18,46120,13570,934598,69750,5
baseline,result_500.json,19,59690,0,994288,69750,5
baseline,result_500.json,20,59686,1,1053974,69751,5
baseline,result_500.json,21,59690,0,1113664,69751,5
baseline,result_500.json,22,59687,0,1173351,69751,5
baseline,result_500.json,23,59690,0,1233041,69751,5
baseline,result_500.json,24,59687,0,1292728,69751,5
baseline,result_500.json,25,59690,0,1352418,69751,5
baseline,result_500.json,26,59687,0,1412105,69751,5
baseline,result_500.json,27,59690,0,1471795,69751,5
baseline,result_500.json,28,59687,0,1531482,69751,5
baseline,result_500.json,29,59690,0,1591172,69751,5
baseline,result_500.json,30,59687,0,1650859,69751,5
baseline,result_500.json,31,59690,0,1710549,69751,5
baseline,result_500.json,32,59687,0,1770236,69751,5
baseline,result_500.json,33,57240,721,1827476,70472,5
baseline,result_500.json,34,57958,0,1885434,70472,5
baseline,result_500.json,35,48063,2855,1933497,73327,5
baseline,result_500.json,36,50915,0,1984412,73327,5
baseline,result_500.json,37,50918,0,2035330,73327,5
baseline,result_500.json,38,50915,0,2086245,73327,5
baseline,result_500.json,39,50915,0,2137160,73327,5
baseline,result_500.json,40,51617,1950,2188777,75277,5
baseline,result_500.json,41,53564,0,2242341,75277,5
baseline,result_500.json,42,53567,0,2295908,75277,5
baseline,result_500.json,43,53564,0,2349472,75277,5
baseline,result_500.json,44,47567,9620,2397039,84897,5
baseline,result_500.json,45,57184,0,2454223,84897,5
baseline,result_500.json,46,57187,0,2511410,84897,5
baseline,result_500.json,47,57184,0,2568594,84897,5
baseline,result_500.json,48,57187,0,2625781,84897,5
baseline,result_500.json,49,57184,0,2682965,84897,5
baseline,result_500.json,50,57183,1350,2740148,86247,5
baseline,result_500.json,51,58533,0,2798681,86247,5
baseline,result_500.json,52,55728,9200,2854409,95447,5
baseline,result_500.json,53,64928,0,2919337,95447,5
baseline,result_500.json,54,64928,0,2984265,95447,5
baseline,result_500.json,55,64928,0,3049193,95447,5
baseline,result_500.json,56,62279,0,3111472,95447,5
baseline,result_500.json,57,62279,0,3173751,95447,5
baseline,result_500.json,58,62279,0,3236030,95447,5
baseline,result_500.json,59,62279,0,3298309,95447,5
baseline,result_500.json,60,62279,0,3360588,95447,5
baseline,result_500.json,61,54679,8,3415267,95455,5
baseline,result_500.json,62,54687,0,3469954,95455,5
baseline,result_500.json,63,54687,0,3524641,95455,5
baseline,result_500.json,64,54687,0,3579328,95455,5
baseline,result_500.json,65,55536,1650,3634864,97105,5
baseline,result_500.json,66,48617,900,3683481,98005,5
baseline,result_500.json,67,49517,0,3732998,98005,5
baseline,result_500.json,68,56017,0,3789015,98005,5
baseline,result_500.json,69,48060,9970,3837075,107975,5
baseline,result_500.json,70,64380,0,3901455,107975,5
baseline,result_500.json,71,58030,0,3959485,107975,5
baseline,result_500.json,72,57880,0,4017365,107975,5
baseline,result_500.json,73,64380,0,4081745,107975,5
baseline,result_500.json,74,58030,0,4139775,107975,5
baseline,result_500.json,75,57880,0,4197655,107975,5
baseline,result_500.json,76,64530,0,4262185,107975,5
baseline,result_500.json,77,57880,0,4320065,107975,5
baseline,result_500.json,78,64530,0,4384595,107975,5
baseline,result_500.json,79,57880,0,4442475,107975,5
baseline,result_500.json,80,58030,0,4500505,107975,5
baseline,result_500.json,81,61163,0,4561668,107975,5
baseline,result_500.json,82,54813,0,4616481,107975,5
baseline,result_500.json,83,54663,0,4671144,107975,5
baseline,result_500.json,84,61313,0,4732457,107975,5
baseline,result_500.json,85,54663,0,4787120,107975,5
baseline,result_500.json,86,43975,1800,4831095,109775,5
baseline,result_500.json,87,39125,0,4870220,109775,5
baseline,result_500.json,88,39275,0,4909495,109775,5
baseline,result_500.json,89,45625,0,4955120,109775,5
baseline,result_500.json,90,39275,0,4994395,109775,5
baseline,result_500.json,91,39125,0,5033520,109775,5
baseline,result_500.json,92,45625,0,5079145,109775,5
baseline,result_500.json,93,45775,0,5124920,109775,5
baseline,result_500.json,94,45625,0,5170545,109775,5
baseline,result_500.json,95,40347,9400,5210892,119175,5
baseline,result_500.json,96,49597,0,5260489,119175,5
baseline,result_500.json,97,45204,0,5305693,119175,4
baseline,result_500.json,98,45054,0,5350747,119175,4
baseline,result_500.json,99,38613,0,5389360,119175,3
baseline,result_500.json,100,38613,0,5427973,119175,3
baseline,result_500.json,101,38613,0,5466586,119175,3
baseline,result_500.json,102,38613,0,5505199,119175,3
light,result_500_light.json,1,0,78800,0,78800,7
light,result_500_light.json,2,78800,0,78800,78800,7
light,result_500_light.json,3,78800,0,157600,78800,7
light,result_500_light.json,4,78800,0,236400,78800,7
light,result_500_light.json,5,78800,0,315200,78800,7
light,result_500_light.json,6,78800,0,394000,78800,7
light,result_500_light.json,7,78800,0,472800,78800,7
light,result_500_light.json,8,78800,0,551600,78800,7
light,result_500_light.json,9,78800,0,630400,78800,7
light,result_500_light.json,10,78800,0,709200,78800,7
light,result_500_light.json,11,78800,0,788000,78800,7
light,result_500_light.json,12,78800,0,866800,78800,7
light,result_500_light.json,13,78800,0,945600,78800,7
light,result_500_light.json,14,78800,0,1024400,78800,7
light,result_500_light.json,15,78800,0,1103200,78800,7
light,result_500_light.json,16,78800,0,1182000,78800,7
light,result_500_light.json,17,78798,650,1260798,79450,7
light,result_500_light.json,18,74354,28120,1335152,107570,7
light,result_500_light.json,19,102474,0,1437626,107570,7
light,result_500_light.json,20,102470,1,1540096,107571,7
light,result_500_light.json,21,102474,0,1642570,107571,7
light,result_500_light.json,22,102471,0,1745041,107571,7
light,result_500_light.json,23,102474,0,1847515,107571,7
light,result_500_light.json,24,102471,0,1949986,107571,7
light,result_500_light.json,25,102474,0,2052460,107571,7
light,result_500_light.json,26,102471,0,2154931,107571,7
light,result_500_light.json,27,102474,0,2257405,107571,7
light,result_500_light.json,28,102471,0,2359876,107571,7
light,result_500_light.json,29,102474,0,2462350,107571,7
light,result_500_light.json,30,102471,0,2564821,107571,7
light,result_500_light.json,31,102474,0,2667295,107571,7
light,result_500_light.json,32,102471,0,2769766,107571,7
light,result_500_light.json,33,100024,721,2869790,108292,7
light,result_500_light.json,34,100742,0,2970532,108292,7
light,result_500_light.json,35,58607,15904,3029139,124196,6
light,result_500_light.json,36,74508,0,3103647,124196,6
light,result_500_light.json,37,74511,0,3178158,124196,6
light,result_500_light.json,38,74508,0,3252666,124196,6
light,result_500_light.json,39,74508,0,3327174,124196,6
