nohup: ignoring input
[1/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json placement=fg_dscr seed=1
[2/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json placement=fg_dscr seed=2
[3/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json placement=fg_dscr seed=3
[4/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json placement=round_robin seed=1
[5/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json placement=round_robin seed=2
[6/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json placement=round_robin seed=3
[7/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json placement=fg_dscr seed=1
[8/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json placement=fg_dscr seed=2
[9/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json placement=fg_dscr seed=3
[10/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json placement=round_robin seed=1
[11/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json placement=round_robin seed=2
[12/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json placement=round_robin seed=3
[13/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_1000.json placement=fg_dscr seed=1
[14/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_1000.json placement=fg_dscr seed=2
[15/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_1000.json placement=fg_dscr seed=3
[16/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_1000.json placement=round_robin seed=1
[17/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_1000.json placement=round_robin seed=2
[18/18] cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_1000.json placement=round_robin seed=3
[OK] CSV   -> results/coded_gate/gate_focus.csv
[OK] JSONL -> results/coded_gate/gate_focus.jsonl
