iter,phi_total,delay_term,frag_term,aff_reward_term,load_term
1,609.0583333333333,608.0166666666667,0.041666666666666664,0.0,1.0
2,2605.333101851852,2603.2833333333333,0.04976851851851852,0.0,2.0
3,15687.960648148148,15684.895833333332,0.06481481481481481,0.0,3.0
4,17604.326851851853,17600.245833333334,0.0810185185185185,0.0,4.0
5,30686.98101851852,30681.858333333334,0.12268518518518516,0.0,5.0
6,31999.986805555553,31991.85833333333,0.1284722222222222,0.0,8.0
7,32628.19259259259,32619.05833333333,0.13425925925925924,0.0,9.0
8,32984.04513888888,32969.89583333333,0.14930555555555555,0.0,14.0
9,32782.488541666666,32969.89583333333,0.19270833333333331,204.60000000000002,17.0
10,39751.82314814815,39936.2125,0.21064814814814814,204.60000000000002,20.0
11,42128.981944444444,42310.34583333333,0.2361111111111111,204.60000000000002,23.0
12,41929.425347222226,42310.34583333333,0.2795138888888889,409.20000000000005,28.0
13,41888.025347222225,42310.34583333333,0.2795138888888889,455.6,33.0
14,46122.65081018519,46543.94583333333,0.30497685185185186,455.6,34.0
15,45925.04675925926,46543.94583333333,0.300925925925926,660.2,41.0
16,50100.86527777778,50712.745833333334,0.3194444444444445,660.2,48.0
17,59097.481481481474,59706.54583333333,0.3356481481481482,660.4000000000001,51.0
18,63579.04652777778,64185.09583333333,0.3506944444444445,660.4000000000001,54.0
19,68192.32662037037,68793.54583333334,0.3807870370370371,660.6,59.0
20,72588.96863425926,73189.15833333334,0.410300925925926,660.6,60.0
21,81625.19814814815,82220.35833333334,0.4398148148148149,660.6,65.0
22,81429.61666666667,82220.35833333334,0.45833333333333337,865.2,74.0
23,96255.55289351853,97048.69166666668,0.4612268518518519,874.6,81.0
24,104791.35752314815,105581.69166666668,0.4658564814814815,874.8000000000001,84.0
25,109782.82881944445,110566.15833333334,0.4704861111111111,874.8000000000001,91.0
26,109698.44675925927,110566.15833333334,0.48842592592592593,968.2,100.0
27,114557.07974537037,115425.55833333333,0.5214120370370371,974.0,105.0
28,114363.49479166666,115425.55833333333,0.5364583333333334,1178.6000000000001,116.0
29,116014.70925925925,117067.75833333333,0.550925925925926,1178.6000000000001,125.0
30,115983.53067129629,117067.75833333333,0.572337962962963,1216.8,132.0
31,115893.73182870369,117067.75833333333,0.5734953703703705,1317.6000000000001,143.0
32,115702.13414351852,117067.75833333333,0.5758101851851852,1522.2,156.0
33,115512.5480324074,117067.75833333333,0.5896990740740741,1726.8000000000002,171.0
34,125601.68969907408,127157.25833333333,0.6313657407407408,1732.2,176.0
35,126055.65243055555,127676.60833333334,0.6440972222222223,1804.6000000000001,183.0
36,130987.26863425926,132605.00833333333,0.660300925925926,1810.4,192.0
37,130875.70162037038,132605.00833333333,0.6932870370370371,1929.0,199.0
38,130799.73460648148,132605.00833333333,0.7262731481481481,2014.0,208.0
39,130742.95601851853,132605.00833333333,0.7476851851851853,2081.8,219.0
40,130680.57048611112,132605.00833333333,0.7621527777777779,2155.2000000000003,230.0
41,130484.97164351853,132605.00833333333,0.7633101851851852,2359.8,239.0
42,130379.37280092592,132605.00833333333,0.7644675925925926,2478.4,252.0
43,130191.78784722221,132605.00833333333,0.7795138888888888,2683.0,269.0
44,130006.21851851852,132605.00833333333,0.8101851851851853,2887.6000000000004,288.0
45,135363.91469907406,137953.675,0.8396990740740742,2887.6000000000004,297.0
46,135260.31412037034,137953.675,0.8391203703703705,3006.2000000000003,312.0
47,135177.94884259257,137953.675,0.8738425925925927,3099.6000000000004,323.0
48,136388.20717592596,139169.09166666667,0.9155092592592593,3117.8,336.0
49,136204.61817129632,139169.09166666667,0.9265046296296297,3322.4,357.0
50,136023.04131944446,139169.09166666667,0.9496527777777778,3527.0,380.0
51,135843.47083333333,139169.09166666667,0.9791666666666666,3731.6000000000004,405.0
52,135775.50034722223,139169.09166666667,1.0086805555555556,3816.6000000000004,422.0
53,153720.209375,157116.40416666667,1.0052083333333333,3822.2000000000003,425.0
54,153632.44062500002,157116.40416666667,1.0364583333333333,3923.0,438.0
55,159054.57511574074,162531.3375,1.0376157407407407,3928.8,451.0
56,170391.35787037038,173857.12083333332,1.037037037037037,3928.8,462.0
57,170312.95902777775,173857.12083333332,1.0381944444444444,4022.2000000000003,477.0
58,170279.54745370368,173857.12083333332,1.0266203703703705,4068.6000000000004,490.0
59,170193.7665509259,173857.12083333332,1.0457175925925926,4169.400000000001,505.0
60,170131.40300925926,173857.12083333332,1.0821759259259258,4248.8,522.0
61,181073.18831018519,184781.87083333332,1.1174768518518519,4248.8,539.0
62,180895.62650462962,184781.87083333332,1.1556712962962963,4453.400000000001,566.0
63,185529.06458333333,189406.0875,1.1770833333333333,4459.2,581.0
64,185463.08599537035,189406.0875,1.1984953703703702,4544.2,600.0
65,185365.49699074074,189406.0875,1.2094907407407407,4662.8,621.0
66,190964.41354166667,194991.42083333334,1.1927083333333333,4668.2,640.0
67,190932.02974537038,194991.42083333334,1.208912037037037,4721.6,661.0
68,190732.4378472222,194991.42083333334,1.2170138888888888,4926.200000000001,666.0
69,190670.43726851852,194991.42083333334,1.2164351851851851,5011.200000000001,689.0
70,190657.46215277776,194991.42083333334,1.2413194444444442,5041.200000000001,706.0
71,190459.86793981484,194991.42083333334,1.2471064814814814,5245.8,713.0
72,213528.92881944447,218045.68750000003,1.2413194444444442,5246.0,728.0
