iter,phi_total,delay_term,frag_term,aff_reward_term,load_term
1,2245.8282407407405,2244.8166666666666,0.011574074074074075,0.0,1.0
2,32159.155787037034,32155.35,0.005787037037037035,0.2,4.0
3,31959.56388888889,32155.35,0.01388888888888889,204.8,9.0
4,31761.995138888888,32155.35,0.04513888888888889,409.40000000000003,16.0
5,33558.509953703695,33950.862499999996,0.047453703703703706,409.40000000000003,17.0
6,33362.92268518518,33950.862499999996,0.06018518518518519,614.0,26.0
7,42451.54930555555,43036.462499999994,0.08680555555555555,614.0,29.0
8,43796.854166666664,44380.729166666664,0.125,614.0,30.0
9,44440.676157407404,45091.729166666664,0.14699074074074073,686.2,35.0
10,44247.08888888888,45091.729166666664,0.15972222222222224,890.8000000000001,46.0
11,44568.08888888888,45411.729166666664,0.15972222222222224,890.8000000000001,47.0
12,44376.50046296296,45411.729166666664,0.1712962962962963,1095.4,60.0
13,44686.74212962962,45718.92916666666,0.21296296296296297,1095.4,63.0
14,44632.932870370365,45718.92916666666,0.2037037037037037,1152.2,66.0
15,44636.3693287037,45721.32916666666,0.24016203703703703,1152.2,67.0
16,44446.771643518514,45721.32916666666,0.24247685185185183,1356.8000000000002,82.0
17,44259.19942129629,45721.32916666666,0.2702546296296296,1561.4,99.0
18,46518.04317129629,47979.14166666666,0.3015046296296296,1561.4,100.0
19,46332.464004629626,47979.14166666666,0.32233796296296297,1766.0,119.0
20,50567.06631944444,52212.74166666666,0.3246527777777778,1766.0,120.0
21,51459.18460648148,53103.854166666664,0.3304398148148148,1766.0,121.0
22,59351.69039351852,60993.55416666666,0.33622685185185186,1766.2,124.0
23,59405.27222222222,61044.104166666664,0.3680555555555555,1766.2,127.0
24,62312.2005787037,63948.00416666666,0.396412037037037,1766.2,130.0
25,79065.4167824074,80701.60416666666,0.4126157407407407,1771.6000000000001,135.0
26,85016.8353009259,86646.00416666665,0.4311342592592592,1771.6000000000001,142.0
27,84907.25960648147,86646.00416666665,0.45543981481481477,1890.2,151.0
28,92049.3806712963,93781.09166666666,0.4890046296296296,1890.2,158.0
29,91865.7991898148,93781.09166666666,0.5075231481481481,2094.8,179.0
30,91684.22349537037,93781.09166666666,0.5318287037037037,2299.4,202.0
31,98722.97465277778,100814.84166666666,0.5329861111111112,2299.4,207.0
32,107178.6486111111,109271.07916666666,0.5694444444444445,2305.0,212.0
33,107158.8636574074,109271.07916666666,0.5844907407407408,2335.8,223.0
34,107053.28449074074,109271.07916666666,0.6053240740740741,2454.4,236.0
35,106966.88738425926,109271.07916666666,0.6082175925925926,2547.8,243.0
36,106787.31921296296,109271.07916666666,0.6400462962962964,2752.4,268.0
37,106609.76087962963,109271.07916666666,0.681712962962963,2957.0,295.0
38,109500.16851851852,112154.4625,0.7060185185185185,2957.0,302.0
39,117347.83287037037,119997.12916666667,0.7037037037037037,2957.0,307.0
40,124848.45370370371,127490.72916666667,0.724537037037037,2957.0,314.0
41,127118.41296296296,129757.67916666667,0.7337962962962963,2957.0,317.0
42,127091.42222222223,129757.67916666667,0.7430555555555556,2989.0,322.0
43,127043.62337962963,129757.67916666667,0.744212962962963,3045.8,331.0
44,138676.88541666666,141389.34583333333,0.7395833333333334,3055.2000000000003,342.0
45,138592.48831018517,141389.34583333333,0.7424768518518519,3148.6000000000004,351.0
46,138526.13171296296,141389.34583333333,0.7858796296296295,3220.0,356.0
47,138350.54444444444,141389.34583333333,0.7986111111111109,3424.6000000000004,385.0
48,142990.71064814815,146016.69583333333,0.8148148148148147,3424.8,398.0
49,142817.12337962963,146016.69583333333,0.8275462962962961,3629.4,429.0
50,144882.12175925926,148066.67916666667,0.8425925925925923,3629.4,444.0
51,144710.5246527778,148066.67916666667,0.8454861111111109,3834.0,477.0
52,144540.9460648148,148066.67916666667,0.8668981481481479,4038.6000000000004,512.0
53,144373.35243055553,148066.67916666667,0.8732638888888888,4243.2,549.0
54,145431.18807870374,149123.09166666667,0.896412037037037,4248.8,556.0
55,145364.42627314816,149123.09166666667,0.9346064814814814,4324.6,565.0
56,161572.29768518519,165321.94166666668,0.9560185185185186,4324.6,574.0
57,161406.715625,165321.94166666668,0.9739583333333333,4529.2,613.0
58,161303.1133101852,165321.94166666668,0.9716435185185184,4647.8,628.0
59,161408.9822916667,165410.80833333335,0.9739583333333333,4647.8,645.0
60,161245.40543981484,165410.80833333335,0.9971064814814816,4852.400000000001,686.0
61,161143.82511574076,165410.80833333335,1.0167824074074074,4971.0,703.0
62,167144.19131944445,171400.35833333334,1.0329861111111112,4971.200000000001,714.0
63,166982.59074074076,171400.35833333334,1.0324074074074072,5175.8,757.0
64,166917.82546296297,171400.35833333334,1.0671296296296295,5251.6,768.0
65,185444.0439814815,189907.75833333333,1.0856481481481481,5251.8,787.0
66,185284.4619212963,189907.75833333333,1.103587962962963,5456.400000000001,832.0
67,185184.87118055555,189907.75833333333,1.1128472222222223,5575.0,851.0
68,214075.50590277775,218782.7583333333,1.1475694444444444,5580.400000000001,872.0
69,213917.9458333333,218782.7583333333,1.1875000000000002,5785.0,919.0
70,213852.7493055555,218782.7583333333,1.1909722222222223,5861.200000000001,930.0
71,213755.1585648148,218782.7583333333,1.2002314814814814,5979.8,951.0
72,281117.7608796296,286132.5583333333,1.2025462962962963,5980.0,964.0
73,281077.362037037,286132.5583333333,1.2037037037037037,6033.400000000001,977.0
74,280887.78460648144,286132.5583333333,1.2262731481481481,6238.0,992.0
75,280864.7765046296,286132.5583333333,1.2181712962962965,6270.0,1001.0
76,288675.171875,293931.9583333333,1.2135416666666667,6270.0,1012.0
77,288646.3869212963,293931.9583333333,1.228587962962963,6313.8,1027.0
78,288458.82164351846,293931.9583333333,1.2633101851851851,6518.400000000001,1044.0
79,288273.2175925926,293931.9583333333,1.2592592592592593,6723.0,1063.0
80,288211.2488425926,293931.9583333333,1.2905092592592593,6808.0,1086.0
81,289453.0167824074,295179.7083333333,1.3084490740740742,6835.0,1107.0
82,324775.9318287037,330489.8083333333,1.3234953703703705,6835.200000000001,1120.0
