iter,progress,container_id,chosen_node,raw_delay,raw_frag,raw_aff,raw_load,delay_term,frag_term,aff_reward_term,aff_contrib_to_phi,load_term,phi_total
1,0.0014285714285714286,c001,edge-3,608.0166666666667,0.041666666666666664,0.0,1.0,608.0166666666667,0.041666666666666664,0.0,-0.0,1.0,609.0583333333333
2,0.002857142857142857,c002,edge-3,4806.15,0.03587962962962962,0.0,4.0,4806.15,0.03587962962962962,0.0,-0.0,4.0,4810.185879629629
3,0.004285714285714286,c003,edge-2,17887.762499999997,0.050925925925925916,0.0,5.0,17887.762499999997,0.050925925925925916,0.0,-0.0,5.0,17892.813425925924
4,0.005714285714285714,c004,edge-7,19803.112499999996,0.06712962962962962,0.0,6.0,19803.112499999996,0.06712962962962962,0.0,-0.0,6.0,19809.179629629627
5,0.007142857142857143,c005,edge-4,32884.725,0.10879629629629628,0.0,7.0,32884.725,0.10879629629629628,0.0,-0.0,7.0,32891.8337962963
6,0.008571428571428572,c006,edge-8,32915.975,0.1284722222222222,0.0,8.0,32915.975,0.1284722222222222,0.0,-0.0,8.0,32924.10347222222
7,0.01,c007,edge-6,33543.174999999996,0.13425925925925924,0.0,9.0,33543.174999999996,0.13425925925925924,0.0,-0.0,9.0,33552.30925925926
8,0.011428571428571429,c008,edge-4,33877.7625,0.15393518518518517,0.0,12.0,33877.7625,0.15393518518518517,0.0,-0.0,12.0,33889.91643518518
9,0.012857142857142857,c009,edge-4,33877.7625,0.19733796296296294,1023.0,17.0,33877.7625,0.19733796296296294,204.60000000000002,-204.60000000000002,17.0,33690.35983796296
10,0.014285714285714285,c010,edge-7,40844.07916666666,0.21527777777777776,1023.0,20.0,40844.07916666666,0.21527777777777776,204.60000000000002,-204.60000000000002,20.0,40659.694444444445
11,0.015714285714285715,c011,edge-1,41741.14583333333,0.2592592592592592,1023.0,21.0,41741.14583333333,0.2592592592592592,204.60000000000002,-204.60000000000002,21.0,41557.80509259259
12,0.017142857142857144,c012,edge-4,41741.14583333333,0.302662037037037,2046.0,28.0,41741.14583333333,0.302662037037037,409.20000000000005,-409.20000000000005,28.0,41360.24849537037
13,0.018571428571428572,c013,edge-1,41741.14583333333,0.302662037037037,2278.0,31.0,41741.14583333333,0.302662037037037,455.6,-455.6,31.0,41316.84849537037
14,0.02,c014,edge-5,45974.74583333333,0.32812499999999994,2278.0,32.0,45974.74583333333,0.32812499999999994,455.6,-455.6,32.0,45551.47395833333
15,0.02142857142857143,c015,edge-4,45974.74583333333,0.324074074074074,3301.0,41.0,45974.74583333333,0.324074074074074,660.2,-660.2,41.0,45355.8699074074
16,0.022857142857142857,c016,edge-1,47433.94583333333,0.34259259259259256,3301.0,46.0,47433.94583333333,0.34259259259259256,660.2,-660.2,46.0,46820.088425925926
17,0.024285714285714285,c017,edge-3,59394.61249999999,0.36053240740740744,3302.0,51.0,59394.61249999999,0.36053240740740744,660.4000000000001,-660.4000000000001,51.0,58785.573032407396
18,0.025714285714285714,c018,edge-5,63873.16249999999,0.3755787037037037,3302.0,54.0,63873.16249999999,0.3755787037037037,660.4000000000001,-660.4000000000001,54.0,63267.13807870369
19,0.027142857142857142,c019,edge-1,66521.9625,0.40162037037037035,3302.0,61.0,66521.9625,0.40162037037037035,660.4000000000001,-660.4000000000001,61.0,65922.96412037036
20,0.02857142857142857,c020,edge-8,71658.825,0.43113425925925924,3302.0,64.0,71658.825,0.43113425925925924,660.4000000000001,-660.4000000000001,64.0,71062.85613425926
21,0.03,c021,edge-3,82498.15833333333,0.4728009259259259,3302.0,71.0,82498.15833333333,0.4728009259259259,660.4000000000001,-660.4000000000001,71.0,81909.23113425926
22,0.03142857142857143,c022,edge-2,82498.15833333333,0.4820601851851852,4325.0,74.0,82498.15833333333,0.4820601851851852,865.0,-865.0,74.0,81707.64039351851
23,0.032857142857142856,c023,edge-3,99554.825,0.48495370370370366,4372.0,83.0,99554.825,0.48495370370370366,874.4000000000001,-874.4000000000001,83.0,98763.90995370371
24,0.03428571428571429,c024,edge-8,108617.825,0.48958333333333326,4373.0,88.0,108617.825,0.48958333333333326,874.6,-874.6,88.0,107831.71458333332
25,0.03571428571428571,c025,edge-3,117416.35833333332,0.4942129629629629,4373.0,99.0,117416.35833333332,0.4942129629629629,874.6,-874.6,99.0,116641.25254629628
26,0.037142857142857144,c026,edge-3,117416.35833333332,0.5121527777777777,4840.0,112.0,117416.35833333332,0.5121527777777777,968.0,-968.0,112.0,116560.8704861111
27,0.03857142857142857,c027,edge-7,122275.75833333332,0.5451388888888888,4869.0,117.0,122275.75833333332,0.5451388888888888,973.8000000000001,-973.8000000000001,117.0,121419.5034722222
28,0.04,c028,edge-2,122275.75833333332,0.5601851851851851,5892.0,122.0,122275.75833333332,0.5601851851851851,1178.4,-1178.4,122.0,121219.9185185185
29,0.041428571428571426,c029,edge-5,123419.62499999999,0.5752314814814814,5892.0,127.0,123419.62499999999,0.5752314814814814,1178.4,-1178.4,127.0,122368.80023148147
30,0.04285714285714286,c030,edge-3,123419.62499999999,0.5966435185185185,6083.0,142.0,123419.62499999999,0.5966435185185185,1216.6000000000001,-1216.6000000000001,142.0,122345.6216435185
31,0.04428571428571428,c031,edge-5,123419.62499999999,0.6024305555555555,6587.0,149.0,123419.62499999999,0.6024305555555555,1317.4,-1317.4,149.0,122251.82743055555
32,0.045714285714285714,c032,edge-2,123419.62499999999,0.6047453703703702,7610.0,156.0,123419.62499999999,0.6047453703703702,1522.0,-1522.0,156.0,122054.22974537035
33,0.047142857142857146,c033,edge-2,123419.62499999999,0.6186342592592592,8633.0,165.0,123419.62499999999,0.6186342592592592,1726.6000000000001,-1726.6000000000001,165.0,121858.64363425924
34,0.04857142857142857,c034,edge-8,133934.12499999997,0.6603009259259259,8660.0,172.0,133934.12499999997,0.6603009259259259,1732.0,-1732.0,172.0,132374.7853009259
35,0.05,c035,edge-7,134453.47499999998,0.6730324074074074,9022.0,179.0,134453.47499999998,0.6730324074074074,1804.4,-1804.4,179.0,132828.7480324074
36,0.05142857142857143,c036,edge-7,139381.87499999997,0.6892361111111112,9051.0,188.0,139381.87499999997,0.6892361111111112,1810.2,-1810.2,188.0,137760.36423611108
37,0.05285714285714286,c037,edge-8,139381.87499999997,0.7222222222222222,9644.0,197.0,139381.87499999997,0.7222222222222222,1928.8000000000002,-1928.8000000000002,197.0,137650.7972222222
