nohup: ignoring input
[FIG2] method=ilrsa cache=1024 req=200
[FIG2] method=lrs cache=1024 req=200
[FIG2] method=gahrl cache=1024 req=200
[FIG2] method=orr cache=1024 req=200
[FIG2] method=lasa cache=1024 req=200
[FIG2] method=fg cache=1024 req=200
[FIG2] method=ilrsa cache=1024 req=300
[FIG2] method=lrs cache=1024 req=300
[FIG2] method=gahrl cache=1024 req=300
[FIG2] method=orr cache=1024 req=300
[FIG2] method=lasa cache=1024 req=300
[FIG2] method=fg cache=1024 req=300
[FIG2] method=ilrsa cache=1024 req=400
[FIG2] method=lrs cache=1024 req=400
[FIG2] method=gahrl cache=1024 req=400
[FIG2] method=orr cache=1024 req=400
[FIG2] method=lasa cache=1024 req=400
[FIG2] method=fg cache=1024 req=400
[FIG2] method=ilrsa cache=1024 req=500
[FIG2] method=lrs cache=1024 req=500
[FIG2] method=gahrl cache=1024 req=500
[FIG2] method=orr cache=1024 req=500
[FIG2] method=lasa cache=1024 req=500
[FIG2] method=fg cache=1024 req=500
[FIG2] method=ilrsa cache=1024 req=600
[FIG2] method=lrs cache=1024 req=600
[FIG2] method=gahrl cache=1024 req=600
[FIG2] method=orr cache=1024 req=600
[FIG2] method=lasa cache=1024 req=600
[FIG2] method=fg cache=1024 req=600
[FIG2] method=ilrsa cache=1024 req=700
[FIG2] method=lrs cache=1024 req=700
[FIG2] method=gahrl cache=1024 req=700
[FIG2] method=orr cache=1024 req=700
[FIG2] method=lasa cache=1024 req=700
[FIG2] method=fg cache=1024 req=700
[FIG2] method=ilrsa cache=1024 req=800
[FIG2] method=lrs cache=1024 req=800
[FIG2] method=gahrl cache=1024 req=800
[FIG2] method=orr cache=1024 req=800
[FIG2] method=lasa cache=1024 req=800
[FIG2] method=fg cache=1024 req=800
[FIG2] method=ilrsa cache=1024 req=900
[FIG2] method=lrs cache=1024 req=900
[FIG2] method=gahrl cache=1024 req=900
[FIG2] method=orr cache=1024 req=900
[FIG2] method=lasa cache=1024 req=900
[FIG2] method=fg cache=1024 req=900
[FIG2] method=ilrsa cache=1024 req=1000
[FIG2] method=lrs cache=1024 req=1000
[FIG2] method=gahrl cache=1024 req=1000
[FIG2] method=orr cache=1024 req=1000
[FIG2] method=lasa cache=1024 req=1000
[FIG2] method=fg cache=1024 req=1000
[FIG2] method=ilrsa cache=1152 req=200
[FIG2] method=lrs cache=1152 req=200
[FIG2] method=gahrl cache=1152 req=200
[FIG2] method=orr cache=1152 req=200
[FIG2] method=lasa cache=1152 req=200
[FIG2] method=fg cache=1152 req=200
[FIG2] method=ilrsa cache=1152 req=300
