nohup: ignoring input
[FIG5] method=ilrsa req=200
[FIG5] method=lrs req=200
[FIG5] method=gahrl req=200
[FIG5] method=orr req=200
[FIG5] method=lasa req=200
[FIG5] method=fg req=200
[FIG5] method=ilrsa req=300
[FIG5] method=lrs req=300
[FIG5] method=gahrl req=300
[FIG5] method=orr req=300
[FIG5] method=lasa req=300
[FIG5] method=fg req=300
[FIG5] method=ilrsa req=400
[FIG5] method=lrs req=400
[FIG5] method=gahrl req=400
[FIG5] method=orr req=400
[FIG5] method=lasa req=400
[FIG5] method=fg req=400
[FIG5] method=ilrsa req=500
[FIG5] method=lrs req=500
[FIG5] method=gahrl req=500
[FIG5] method=orr req=500
[FIG5] method=lasa req=500
[FIG5] method=fg req=500
[FIG5] method=ilrsa req=600
[FIG5] method=lrs req=600
[FIG5] method=gahrl req=600
[FIG5] method=orr req=600
[FIG5] method=lasa req=600
[FIG5] method=fg req=600
[FIG5] method=ilrsa req=700
[FIG5] method=lrs req=700
[FIG5] method=gahrl req=700
[FIG5] method=orr req=700
[FIG5] method=lasa req=700
[FIG5] method=fg req=700
[FIG5] method=ilrsa req=800
[FIG5] method=lrs req=800
[FIG5] method=gahrl req=800
[FIG5] method=orr req=800
[FIG5] method=lasa req=800
[FIG5] method=fg req=800
[FIG5] method=ilrsa req=900
[FIG5] method=lrs req=900
[FIG5] method=gahrl req=900
[FIG5] method=orr req=900
[FIG5] method=lasa req=900
[FIG5] method=fg req=900
[FIG5] method=ilrsa req=1000
[FIG5] method=lrs req=1000
[FIG5] method=gahrl req=1000
[FIG5] method=orr req=1000
[FIG5] method=lasa req=1000
[FIG5] method=fg req=1000
written results/drtp/k8s_ca_figs/summaries/fig5_overall.csv rows 54
