nohup: ignoring input
[FIG2-PREFIX] method=ilrsa cache=0 req=200
[FIG2-PREFIX] method=lrs cache=0 req=200
[FIG2-PREFIX] method=gahrl cache=0 req=200
[FIG2-PREFIX] method=orr cache=0 req=200
[FIG2-PREFIX] method=lasa cache=0 req=200
[FIG2-PREFIX] method=fg cache=0 req=200
[FIG2-PREFIX] method=ilrsa cache=0 req=300
[FIG2-PREFIX] method=lrs cache=0 req=300
[FIG2-PREFIX] method=gahrl cache=0 req=300
[FIG2-PREFIX] method=orr cache=0 req=300
[FIG2-PREFIX] method=lasa cache=0 req=300
[FIG2-PREFIX] method=fg cache=0 req=300
[FIG2-PREFIX] method=ilrsa cache=0 req=400
[FIG2-PREFIX] method=lrs cache=0 req=400
[FIG2-PREFIX] method=gahrl cache=0 req=400
[FIG2-PREFIX] method=orr cache=0 req=400
[FIG2-PREFIX] method=lasa cache=0 req=400
[FIG2-PREFIX] method=fg cache=0 req=400
[FIG2-PREFIX] method=ilrsa cache=0 req=500
[FIG2-PREFIX] method=lrs cache=0 req=500
[FIG2-PREFIX] method=gahrl cache=0 req=500
[FIG2-PREFIX] method=orr cache=0 req=500
[FIG2-PREFIX] method=lasa cache=0 req=500
[FIG2-PREFIX] method=fg cache=0 req=500
[FIG2-PREFIX] method=ilrsa cache=0 req=600
[FIG2-PREFIX] method=lrs cache=0 req=600
[FIG2-PREFIX] method=gahrl cache=0 req=600
[FIG2-PREFIX] method=orr cache=0 req=600
[FIG2-PREFIX] method=lasa cache=0 req=600
[FIG2-PREFIX] method=fg cache=0 req=600
[FIG2-PREFIX] method=ilrsa cache=0 req=700
[FIG2-PREFIX] method=lrs cache=0 req=700
[FIG2-PREFIX] method=gahrl cache=0 req=700
[FIG2-PREFIX] method=orr cache=0 req=700
[FIG2-PREFIX] method=lasa cache=0 req=700
[FIG2-PREFIX] method=fg cache=0 req=700
[FIG2-PREFIX] method=ilrsa cache=0 req=800
[FIG2-PREFIX] method=lrs cache=0 req=800
[FIG2-PREFIX] method=gahrl cache=0 req=800
[FIG2-PREFIX] method=orr cache=0 req=800
[FIG2-PREFIX] method=lasa cache=0 req=800
[FIG2-PREFIX] method=fg cache=0 req=800
[FIG2-PREFIX] method=ilrsa cache=0 req=900
[FIG2-PREFIX] method=lrs cache=0 req=900
[FIG2-PREFIX] method=gahrl cache=0 req=900
[FIG2-PREFIX] method=orr cache=0 req=900
[FIG2-PREFIX] method=lasa cache=0 req=900
[FIG2-PREFIX] method=fg cache=0 req=900
[FIG2-PREFIX] method=ilrsa cache=0 req=1000
[FIG2-PREFIX] method=lrs cache=0 req=1000
[FIG2-PREFIX] method=gahrl cache=0 req=1000
[FIG2-PREFIX] method=orr cache=0 req=1000
[FIG2-PREFIX] method=lasa cache=0 req=1000
[FIG2-PREFIX] method=fg cache=0 req=1000
[FIG2-PREFIX] method=ilrsa cache=128 req=200
[FIG2-PREFIX] method=lrs cache=128 req=200
[FIG2-PREFIX] method=gahrl cache=128 req=200
[FIG2-PREFIX] method=orr cache=128 req=200
[FIG2-PREFIX] method=lasa cache=128 req=200
[FIG2-PREFIX] method=fg cache=128 req=200
[FIG2-PREFIX] method=ilrsa cache=128 req=300
[FIG2-PREFIX] method=lrs cache=128 req=300
[FIG2-PREFIX] method=gahrl cache=128 req=300
[FIG2-PREFIX] method=orr cache=128 req=300
