nohup: ignoring input
[SWEEP] initimage_resource_frag0_aff0_glf0.8 req=200
[SWEEP] initimage_resource_frag0_aff0_glf0.8 req=500
[SWEEP] initimage_resource_frag0_aff0_glf0.8 req=1000
[SWEEP] initimage_resource_frag0_aff0_glf0.9 req=200
[SWEEP] initimage_resource_frag0_aff0_glf0.9 req=500
[SWEEP] initimage_resource_frag0_aff0_glf0.9 req=1000
[SWEEP] initimage_resource_frag0_aff0_glf1.0 req=200
[SWEEP] initimage_resource_frag0_aff0_glf1.0 req=500
[SWEEP] initimage_resource_frag0_aff0_glf1.0 req=1000
[SWEEP] initimage_resource_frag0_aff0.05_glf0.8 req=200
[SWEEP] initimage_resource_frag0_aff0.05_glf0.8 req=500
[SWEEP] initimage_resource_frag0_aff0.05_glf0.8 req=1000
[SWEEP] initimage_resource_frag0_aff0.05_glf0.9 req=200
[SWEEP] initimage_resource_frag0_aff0.05_glf0.9 req=500
[SWEEP] initimage_resource_frag0_aff0.05_glf0.9 req=1000
[SWEEP] initimage_resource_frag0_aff0.05_glf1.0 req=200
[SWEEP] initimage_resource_frag0_aff0.05_glf1.0 req=500
[SWEEP] initimage_resource_frag0_aff0.05_glf1.0 req=1000
[SWEEP] initimage_resource_frag0_aff0.1_glf0.8 req=200
[SWEEP] initimage_resource_frag0_aff0.1_glf0.8 req=500
[SWEEP] initimage_resource_frag0_aff0.1_glf0.8 req=1000
[SWEEP] initimage_resource_frag0_aff0.1_glf0.9 req=200
[SWEEP] initimage_resource_frag0_aff0.1_glf0.9 req=500
[SWEEP] initimage_resource_frag0_aff0.1_glf0.9 req=1000
[SWEEP] initimage_resource_frag0_aff0.1_glf1.0 req=200
[SWEEP] initimage_resource_frag0_aff0.1_glf1.0 req=500
[SWEEP] initimage_resource_frag0_aff0.1_glf1.0 req=1000
[SWEEP] initimage_resource_frag0_aff0.2_glf0.8 req=200
[SWEEP] initimage_resource_frag0_aff0.2_glf0.8 req=500
[SWEEP] initimage_resource_frag0_aff0.2_glf0.8 req=1000
[SWEEP] initimage_resource_frag0_aff0.2_glf0.9 req=200
[SWEEP] initimage_resource_frag0_aff0.2_glf0.9 req=500
[SWEEP] initimage_resource_frag0_aff0.2_glf0.9 req=1000
[SWEEP] initimage_resource_frag0_aff0.2_glf1.0 req=200
[SWEEP] initimage_resource_frag0_aff0.2_glf1.0 req=500
[SWEEP] initimage_resource_frag0_aff0.2_glf1.0 req=1000
[SWEEP] initimage_resource_frag0_aff0.4_glf0.8 req=200
[SWEEP] initimage_resource_frag0_aff0.4_glf0.8 req=500
[SWEEP] initimage_resource_frag0_aff0.4_glf0.8 req=1000
[SWEEP] initimage_resource_frag0_aff0.4_glf0.9 req=200
[SWEEP] initimage_resource_frag0_aff0.4_glf0.9 req=500
[SWEEP] initimage_resource_frag0_aff0.4_glf0.9 req=1000
[SWEEP] initimage_resource_frag0_aff0.4_glf1.0 req=200
[SWEEP] initimage_resource_frag0_aff0.4_glf1.0 req=500
[SWEEP] initimage_resource_frag0_aff0.4_glf1.0 req=1000
[SWEEP] initimage_resource_frag0.5_aff0_glf0.8 req=200
[SWEEP] initimage_resource_frag0.5_aff0_glf0.8 req=500
[SWEEP] initimage_resource_frag0.5_aff0_glf0.8 req=1000
[SWEEP] initimage_resource_frag0.5_aff0_glf0.9 req=200
[SWEEP] initimage_resource_frag0.5_aff0_glf0.9 req=500
[SWEEP] initimage_resource_frag0.5_aff0_glf0.9 req=1000
[SWEEP] initimage_resource_frag0.5_aff0_glf1.0 req=200
[SWEEP] initimage_resource_frag0.5_aff0_glf1.0 req=500
[SWEEP] initimage_resource_frag0.5_aff0_glf1.0 req=1000
[SWEEP] initimage_resource_frag0.5_aff0.05_glf0.8 req=200
[SWEEP] initimage_resource_frag0.5_aff0.05_glf0.8 req=500
[SWEEP] initimage_resource_frag0.5_aff0.05_glf0.8 req=1000
[SWEEP] initimage_resource_frag0.5_aff0.05_glf0.9 req=200
