
==================== w_reuse=0.0 ====================
| method | cases | missing | J_LR | J_LR_impr_vs_FG | delay_norm | miss_norm | old_obj | ACT | AMS | reuse | downloaded |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| Joint-Jsys-trial11 | 81 | 0 | 0.973907 | 2.61% | 0.973907 | 1.001208 | 1235.576 | 843.573 | 1627.580 | 0.344162 | 203473.457 |
| Joint-Jsys-trial6 | 81 | 0 | 0.976171 | 2.38% | 0.976171 | 1.026080 | 1240.326 | 841.020 | 1639.632 | 0.327870 | 207944.074 |
| GAHRL-inspired | 81 | 0 | 0.991007 | 0.90% | 0.991007 | 1.083749 | 1271.760 | 823.522 | 1719.999 | 0.290094 | 218693.012 |
| ORR-inspired | 81 | 0 | 0.992261 | 0.77% | 0.992261 | 1.084360 | 1275.611 | 819.173 | 1732.049 | 0.289694 | 219409.951 |
| OnlineNorm-switch-req>=700 | 81 | 0 | 0.994337 | 0.57% | 0.994337 | 1.025220 | 1260.067 | 864.705 | 1655.430 | 0.328433 | 205813.543 |
| FG-DSCR-GC | 81 | 0 | 1.000000 | 0.00% | 1.000000 | 1.000000 | 1259.030 | 889.394 | 1628.666 | 0.344954 | 203179.716 |
| LASA-reimpl | 81 | 0 | 1.005097 | -0.51% | 1.005097 | 1.107924 | 1310.982 | 784.364 | 1837.601 | 0.274259 | 223490.185 |
| ILR-SA | 81 | 0 | 1.024565 | -2.46% | 1.024565 | 1.202074 | 1304.317 | 876.693 | 1731.941 | 0.212586 | 246492.494 |

==================== w_reuse=0.1 ====================
| method | cases | missing | J_LR | J_LR_impr_vs_FG | delay_norm | miss_norm | old_obj | ACT | AMS | reuse | downloaded |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| Joint-Jsys-trial11 | 81 | 0 | 0.976637 | 2.34% | 0.973907 | 1.001208 | 1235.576 | 843.573 | 1627.580 | 0.344162 | 203473.457 |
| Joint-Jsys-trial6 | 81 | 0 | 0.981162 | 1.88% | 0.976171 | 1.026080 | 1240.326 | 841.020 | 1639.632 | 0.327870 | 207944.074 |
| OnlineNorm-switch-req>=700 | 81 | 0 | 0.997425 | 0.26% | 0.994337 | 1.025220 | 1260.067 | 864.705 | 1655.430 | 0.328433 | 205813.543 |
| FG-DSCR-GC | 81 | 0 | 1.000000 | 0.00% | 1.000000 | 1.000000 | 1259.030 | 889.394 | 1628.666 | 0.344954 | 203179.716 |
| GAHRL-inspired | 81 | 0 | 1.000281 | -0.03% | 0.991007 | 1.083749 | 1271.760 | 823.522 | 1719.999 | 0.290094 | 218693.012 |
| ORR-inspired | 81 | 0 | 1.001471 | -0.15% | 0.992261 | 1.084360 | 1275.611 | 819.173 | 1732.049 | 0.289694 | 219409.951 |
| LASA-reimpl | 81 | 0 | 1.015380 | -1.54% | 1.005097 | 1.107924 | 1310.982 | 784.364 | 1837.601 | 0.274259 | 223490.185 |
| ILR-SA | 81 | 0 | 1.042316 | -4.23% | 1.024565 | 1.202074 | 1304.317 | 876.693 | 1731.941 | 0.212586 | 246492.494 |

==================== w_reuse=0.2 ====================
| method | cases | missing | J_LR | J_LR_impr_vs_FG | delay_norm | miss_norm | old_obj | ACT | AMS | reuse | downloaded |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| Joint-Jsys-trial11 | 81 | 0 | 0.979367 | 2.06% | 0.973907 | 1.001208 | 1235.576 | 843.573 | 1627.580 | 0.344162 | 203473.457 |
| Joint-Jsys-trial6 | 81 | 0 | 0.986153 | 1.38% | 0.976171 | 1.026080 | 1240.326 | 841.020 | 1639.632 | 0.327870 | 207944.074 |
| FG-DSCR-GC | 81 | 0 | 1.000000 | 0.00% | 1.000000 | 1.000000 | 1259.030 | 889.394 | 1628.666 | 0.344954 | 203179.716 |
| OnlineNorm-switch-req>=700 | 81 | 0 | 1.000513 | -0.05% | 0.994337 | 1.025220 | 1260.067 | 864.705 | 1655.430 | 0.328433 | 205813.543 |
| GAHRL-inspired | 81 | 0 | 1.009555 | -0.96% | 0.991007 | 1.083749 | 1271.760 | 823.522 | 1719.999 | 0.290094 | 218693.012 |
| ORR-inspired | 81 | 0 | 1.010681 | -1.07% | 0.992261 | 1.084360 | 1275.611 | 819.173 | 1732.049 | 0.289694 | 219409.951 |
| LASA-reimpl | 81 | 0 | 1.025662 | -2.57% | 1.005097 | 1.107924 | 1310.982 | 784.364 | 1837.601 | 0.274259 | 223490.185 |
| ILR-SA | 81 | 0 | 1.060067 | -6.01% | 1.024565 | 1.202074 | 1304.317 | 876.693 | 1731.941 | 0.212586 | 246492.494 |

==================== w_reuse=0.3 ====================
| method | cases | missing | J_LR | J_LR_impr_vs_FG | delay_norm | miss_norm | old_obj | ACT | AMS | reuse | downloaded |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| Joint-Jsys-trial11 | 81 | 0 | 0.982097 | 1.79% | 0.973907 | 1.001208 | 1235.576 | 843.573 | 1627.580 | 0.344162 | 203473.457 |
| Joint-Jsys-trial6 | 81 | 0 | 0.991144 | 0.89% | 0.976171 | 1.026080 | 1240.326 | 841.020 | 1639.632 | 0.327870 | 207944.074 |
| FG-DSCR-GC | 81 | 0 | 1.000000 | 0.00% | 1.000000 | 1.000000 | 1259.030 | 889.394 | 1628.666 | 0.344954 | 203179.716 |
| OnlineNorm-switch-req>=700 | 81 | 0 | 1.003602 | -0.36% | 0.994337 | 1.025220 | 1260.067 | 864.705 | 1655.430 | 0.328433 | 205813.543 |
| GAHRL-inspired | 81 | 0 | 1.018830 | -1.88% | 0.991007 | 1.083749 | 1271.760 | 823.522 | 1719.999 | 0.290094 | 218693.012 |
| ORR-inspired | 81 | 0 | 1.019891 | -1.99% | 0.992261 | 1.084360 | 1275.611 | 819.173 | 1732.049 | 0.289694 | 219409.951 |
| LASA-reimpl | 81 | 0 | 1.035945 | -3.59% | 1.005097 | 1.107924 | 1310.982 | 784.364 | 1837.601 | 0.274259 | 223490.185 |
| ILR-SA | 81 | 0 | 1.077817 | -7.78% | 1.024565 | 1.202074 | 1304.317 | 876.693 | 1731.941 | 0.212586 | 246492.494 |

==================== w_reuse=0.4 ====================
| method | cases | missing | J_LR | J_LR_impr_vs_FG | delay_norm | miss_norm | old_obj | ACT | AMS | reuse | downloaded |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| Joint-Jsys-trial11 | 81 | 0 | 0.984827 | 1.52% | 0.973907 | 1.001208 | 1235.576 | 843.573 | 1627.580 | 0.344162 | 203473.457 |
| Joint-Jsys-trial6 | 81 | 0 | 0.996135 | 0.39% | 0.976171 | 1.026080 | 1240.326 | 841.020 | 1639.632 | 0.327870 | 207944.074 |
| FG-DSCR-GC | 81 | 0 | 1.000000 | 0.00% | 1.000000 | 1.000000 | 1259.030 | 889.394 | 1628.666 | 0.344954 | 203179.716 |
| OnlineNorm-switch-req>=700 | 81 | 0 | 1.006690 | -0.67% | 0.994337 | 1.025220 | 1260.067 | 864.705 | 1655.430 | 0.328433 | 205813.543 |
| GAHRL-inspired | 81 | 0 | 1.028104 | -2.81% | 0.991007 | 1.083749 | 1271.760 | 823.522 | 1719.999 | 0.290094 | 218693.012 |
| ORR-inspired | 81 | 0 | 1.029101 | -2.91% | 0.992261 | 1.084360 | 1275.611 | 819.173 | 1732.049 | 0.289694 | 219409.951 |
| LASA-reimpl | 81 | 0 | 1.046228 | -4.62% | 1.005097 | 1.107924 | 1310.982 | 784.364 | 1837.601 | 0.274259 | 223490.185 |
| ILR-SA | 81 | 0 | 1.095568 | -9.56% | 1.024565 | 1.202074 | 1304.317 | 876.693 | 1731.941 | 0.212586 | 246492.494 |

==================== w_reuse=0.5 ====================
| method | cases | missing | J_LR | J_LR_impr_vs_FG | delay_norm | miss_norm | old_obj | ACT | AMS | reuse | downloaded |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| Joint-Jsys-trial11 | 81 | 0 | 0.987558 | 1.24% | 0.973907 | 1.001208 | 1235.576 | 843.573 | 1627.580 | 0.344162 | 203473.457 |
| FG-DSCR-GC | 81 | 0 | 1.000000 | 0.00% | 1.000000 | 1.000000 | 1259.030 | 889.394 | 1628.666 | 0.344954 | 203179.716 |
| Joint-Jsys-trial6 | 81 | 0 | 1.001126 | -0.11% | 0.976171 | 1.026080 | 1240.326 | 841.020 | 1639.632 | 0.327870 | 207944.074 |
| OnlineNorm-switch-req>=700 | 81 | 0 | 1.009778 | -0.98% | 0.994337 | 1.025220 | 1260.067 | 864.705 | 1655.430 | 0.328433 | 205813.543 |
| GAHRL-inspired | 81 | 0 | 1.037378 | -3.74% | 0.991007 | 1.083749 | 1271.760 | 823.522 | 1719.999 | 0.290094 | 218693.012 |
| ORR-inspired | 81 | 0 | 1.038311 | -3.83% | 0.992261 | 1.084360 | 1275.611 | 819.173 | 1732.049 | 0.289694 | 219409.951 |
| LASA-reimpl | 81 | 0 | 1.056510 | -5.65% | 1.005097 | 1.107924 | 1310.982 | 784.364 | 1837.601 | 0.274259 | 223490.185 |
| ILR-SA | 81 | 0 | 1.113319 | -11.33% | 1.024565 | 1.202074 | 1304.317 | 876.693 | 1731.941 | 0.212586 | 246492.494 |
