policy,wan_mb_s,upload_mb_s,lan_mb_s,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,total_transfer_mb,overcap_nodes
cloud_fifo,10,100,1000,124,76,942.4008064516119,1573.199999999999,1616.6999999999978,16167.0,0.0,16167.0,8
cloud_sjf,10,100,1000,124,76,1066.9032258064522,1567.6,1616.6999999999998,16167.0,0.0,16167.0,8
p2p_sjf,10,100,1000,124,76,875.4923537239727,1262.6,1262.6,12626.0,3541.0,16167.0,8
p2p_coalesce,10,100,1000,124,76,714.8931090693292,956.2615353174601,956.4110154761903,9452.0,6715.0,16167.0,8
p2p_priority,10,100,1000,124,76,668.0253314701032,929.8174900793653,950.1708333333335,9452.0,6715.0,16167.0,8
cloud_fifo,30,100,1000,124,76,314.133602150538,524.4,538.8999999999997,16167.0,0.0,16167.0,8
cloud_sjf,30,100,1000,124,76,355.6344086021504,522.5333333333333,538.9,16167.0,0.0,16167.0,8
p2p_sjf,30,100,1000,124,76,298.10597583492233,430.0666666666668,430.0666666666668,12902.0,3265.0,16167.0,8
p2p_coalesce,30,100,1000,124,76,241.2412823162313,333.1643950764256,334.4019213661081,9452.0,6715.0,16167.0,8
p2p_priority,30,100,1000,124,76,224.82754898830862,317.0506791666667,321.7847716666667,9452.0,6715.0,16167.0,8
cloud_fifo,100,100,1000,124,76,94.27520161290315,157.4599999999998,162.89749999999967,16167.0,0.0,16167.0,8
cloud_sjf,100,100,1000,124,76,106.73981854838706,156.75999999999993,162.89749999999992,16167.0,0.0,16167.0,8
p2p_sjf,100,100,1000,124,76,88.16318421142226,128.30767287624923,132.85751079900476,12771.0,3396.0,16167.0,8
p2p_coalesce,100,100,1000,124,76,75.30111001665728,112.81671605238164,114.39474577648096,9452.0,6715.0,16167.0,8
p2p_priority,100,100,1000,124,76,70.6297827519149,102.46254790990947,109.90548796556628,9654.0,6513.0,16167.0,8
