case,base_requests,target_requests,cache_scale,wan_mb_s,num_seeds,mean_gain_pct,mean_gain_ci95,p95_gain_pct,p95_gain_ci95,registry_delta_pct,registry_delta_ci95
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,10.0,20,10.424492419101183,2.1766705173039944,0.7823018796039072,1.9992786336079036,-0.44806473026639226,1.599823261750158
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,30.0,20,10.48029980629119,2.230972908833333,-0.17462745438619606,1.893489284276204,-0.3682900324396331,1.640308923878313
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,100.0,20,10.067044321891178,2.0285702732626416,-1.13580843310816,2.2723977487395612,1.0774141361329554,1.8638976082266527
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,10.0,20,12.422163564457513,3.982495822470116,5.908827138207443,4.222822007472601,-6.555032653432148,3.1391161899824738
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,30.0,20,12.296106493868711,3.9766771288992744,6.364860794500579,4.163852657501816,-6.143811094063234,3.359124397726641
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,100.0,20,11.698188221322992,4.55001731439804,4.60210270748507,6.249047655222269,-2.106989811272518,4.31362903892519
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,10.0,20,12.852106571890685,5.509900051076751,14.640917958402325,6.505048825893622,-16.133034398161897,6.592025428499218
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,30.0,20,10.694044794632537,5.602578453583455,13.067118422155191,6.5135992430174765,-15.686116063824327,6.926034162393452
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,100.0,20,5.812379625793832,4.26608686050116,4.729333773848496,4.557170227109609,-11.000789795799763,4.846899359559026
drtp_img88_cacheonly_1024mb_200,200,100,0.5,10.0,20,5.0256474304658765,1.4396862587002675,0.8153239027535824,2.1748631434750947,-0.7945848401946879,1.4287326643207467
drtp_img88_cacheonly_1024mb_200,200,100,0.5,30.0,20,5.195614847555999,1.4227077591841384,0.7009532848283976,2.19310261098914,-0.9377773300423162,1.4259087239006525
drtp_img88_cacheonly_1024mb_200,200,100,0.5,100.0,20,5.587165589026832,1.6393628886567206,-0.32185921209021423,2.4343009516196634,-0.3625201637890498,1.0175226727075237
drtp_img88_cacheonly_1024mb_200,200,100,1.0,10.0,20,12.174043378389483,2.145790926188425,11.163060615995674,2.658095450058814,-10.153503884702603,2.9193787588890383
drtp_img88_cacheonly_1024mb_200,200,100,1.0,30.0,20,10.933206739475654,2.1630980827915938,7.851870913463641,2.584574976227493,-8.530409936927919,2.4436089316090372
drtp_img88_cacheonly_1024mb_200,200,100,1.0,100.0,20,10.066571244548392,2.4615690316306247,5.486411198965388,4.809217033769626,-8.123864415457051,3.8543414928215953
drtp_img88_cacheonly_1024mb_200,200,100,2.0,10.0,20,14.72905082220333,5.7260954763198555,13.043876660328975,4.638810829745189,-16.39590977069393,4.346936200703954
drtp_img88_cacheonly_1024mb_200,200,100,2.0,30.0,20,12.700753135445709,4.433519106284491,10.169080590199165,4.022388288423581,-15.991151923035877,3.9886183443173047
drtp_img88_cacheonly_1024mb_200,200,100,2.0,100.0,20,8.3607023185818,3.556418673951428,5.484195050649328,4.8169437520624125,-11.836016000500447,3.5257564594371873
drtp_img88_cacheonly_1024mb_500,500,250,0.5,10.0,20,9.27892077466977,2.109334370695606,2.2853545012677676,2.2168103908279466,-0.8207648564283762,1.2542302039703266
drtp_img88_cacheonly_1024mb_500,500,250,0.5,30.0,20,9.283586034030767,2.1582358137631865,2.753368230426656,2.4746101456155185,-1.2626942518373792,1.3883291051461646
drtp_img88_cacheonly_1024mb_500,500,250,0.5,100.0,20,9.926390638377452,2.151522339230025,3.2476250078370104,2.302372770991263,-0.5749276564704616,1.3965975960052355
drtp_img88_cacheonly_1024mb_500,500,250,1.0,10.0,20,17.666339728620716,5.151439808657864,13.34206343624741,3.6932053168505172,-11.388193713081442,3.3760690102557662
drtp_img88_cacheonly_1024mb_500,500,250,1.0,30.0,20,17.041839087671057,5.128292078766228,13.390615240205323,4.572102382663133,-10.519780180858074,3.095364843330422
drtp_img88_cacheonly_1024mb_500,500,250,1.0,100.0,20,17.35042390350235,5.010012084042657,15.404628378034243,6.281857743606806,-10.30638683079756,3.319419629294528
drtp_img88_cacheonly_1024mb_500,500,250,2.0,10.0,20,11.086809993793258,4.763052437641966,7.243689800679944,4.4194181767125436,-6.9107682786847375,4.524546239945181
drtp_img88_cacheonly_1024mb_500,500,250,2.0,30.0,20,9.925196489016816,4.605901016947878,7.486701974447037,3.5326478977862186,-7.4431520476808775,4.552624724941285
drtp_img88_cacheonly_1024mb_500,500,250,2.0,100.0,20,8.863183124189426,4.661331963644792,5.5723513236003095,5.7306413863076555,-6.308316209962703,4.297894418338366
